-4.062501374672941035e-01,4.760276141733975341e-02
-5.551344357082035330e-01,1.068698183387345679e+00
-5.524181954141261786e-01,9.348070338640094290e-01
-5.523805732094451137e-01,7.173654844138835918e-01
-5.503441659700666344e-01,6.258447290909883165e-01
-5.503462488581104539e-01,6.820696022705531325e-01
-5.484175090987047918e-01,5.556962455214448093e-01
-4.323979561794172866e-01,5.366995975377771011e-02
-4.395380119419979303e-01,5.870732986228827111e-02
-4.589569559085850958e-01,7.329046974536868042e-02
-5.532285287683244013e-01,9.579917287134543935e-01
-4.281638022851870229e-01,5.326133681002738485e-02
-4.743392087352029107e-01,8.943628280465726332e-02
-5.490539695296341449e-01,5.956119966742270400e-01
-4.204441804755952306e-01,4.844484706260102774e-02
-5.401837632765263963e-01,3.902781523122240137e-01
-4.100507294177799245e-01,4.805656268725025382e-02
-4.478205510249204657e-01,6.393865043625461542e-02
-4.140965462148699094e-01,4.834945736041599412e-02
-5.407914045487197674e-01,4.109560973486093283e-01
-5.466845268781410638e-01,5.002430312591259476e-01
-4.997128740708601802e-01,1.325845394128401800e-01
-5.020763888445655132e-01,1.361529578114555883e-01
-5.092496040292028292e-01,1.593294958542555706e-01
-5.227645913239166164e-01,2.355969738442060535e-01
-5.546257808306569448e-01,1.035191411312242904e+00
-5.493710652219359059e-01,5.971239811495079319e-01
-5.422275955595980967e-01,4.199387193842720745e-01
-4.801296776178222703e-01,9.943897364613123180e-02
-5.275859149696122685e-01,2.699791016723877002e-01
-5.473057371557864537e-01,5.202953882113507955e-01
-4.667661785150809539e-01,8.225085585234903629e-02
-5.548699813123045832e-01,1.062294187822790725e+00
-4.632466225330570953e-01,7.972449395849889875e-02
-4.920210240265227020e-01,1.195761818451995251e-01
-5.311028099705231709e-01,2.913436078900374926e-01
-4.780871029781911807e-01,9.371866219348183591e-02
-5.239990435554685577e-01,2.496778051579633673e-01
-5.332186486789173285e-01,3.159892372924900661e-01
-5.168872433054310100e-01,2.014760027232083694e-01
-5.367134964725358559e-01,3.511672887860682324e-01
-5.387971030639591152e-01,3.789571854410280771e-01
-5.432723579037623818e-01,4.633113822522187952e-01
-5.038428972970349085e-01,1.449258530026794056e-01
-5.542001481729941226e-01,1.026567097860568545e+00
-5.127437256401230492e-01,1.793516770308843100e-01
-4.545076354665641416e-01,7.016852216870242409e-02
-4.967819044687898922e-01,1.313595865753007796e-01
-4.719803229455855065e-01,8.723774668033767998e-02
-4.560909594037136361e-01,7.156342771202135744e-02
-4.961264049351927774e-01,1.234013724489902014e-01
-5.062040289795202153e-01,1.560684230319594468e-01
-5.454255012369675359e-01,4.910827379227372669e-01
-4.402639518877802804e-01,5.898259937314059842e-02
-4.933531491762946364e-01,1.218287807912501325e-01
-5.514235290141543677e-01,7.062356937847891203e-01
-5.098874118060258143e-01,1.712657508967083686e-01
-4.513212523516355046e-01,6.969029201670416673e-02
-5.422509290989547814e-01,4.389487340561003537e-01
-5.366902850651892320e-01,3.399478360397290566e-01
-4.247763319736111431e-01,5.142719211024099346e-02
-4.700306626441104196e-01,8.530126562871929996e-02
-5.481500552632818657e-01,5.383470902222322607e-01
-5.198453319240599058e-01,2.111798945892246759e-01
-4.438874720782740591e-01,6.299585929536874462e-02
-4.831350888714205372e-01,1.027336218806371715e-01
-4.316173705737380573e-01,5.344807443877083036e-02
-4.243209101322140131e-01,4.941548918450019978e-02
-4.438682269501277311e-01,6.136314959412783598e-02
-5.348949042533134302e-01,3.249981566629734919e-01
-5.325492766136314948e-01,3.054018358705241631e-01
-5.444413450321564651e-01,4.750190779030091237e-01
-4.140061236341734952e-01,4.816345082275458322e-02
-5.382091122917764814e-01,3.651155038530691233e-01
-5.116903207033470791e-01,1.742723882971478067e-01
-5.541688475469470632e-01,1.003550100460614436e+00
-5.292363403162400060e-01,2.793495871122599894e-01
-5.355463353472340593e-01,3.285230672824034359e-01
-4.632607159907100036e-01,7.975616651076676555e-02
-4.073926546714083941e-01,4.801167477514781817e-02
-4.895045522744919664e-01,1.123228567644916215e-01
-5.535259005427536350e-01,9.808481833424378404e-01
-5.541370970392307527e-01,9.995280216985493738e-01
-4.863304695971200076e-01,1.100646322258828635e-01
-5.164055283549253694e-01,1.991852422161540792e-01
-4.680303703341625043e-01,8.417196290692005589e-02
-4.838771120699990047e-01,1.032483342502046875e-01
-5.147920846800096983e-01,1.875983864101049559e-01
-4.209368501049557398e-01,4.876156348431307658e-02
-5.261894391118869807e-01,2.605471598089798557e-01
-4.892758444434640586e-01,1.118932334840251480e-01
-5.320532080552657916e-01,2.958326366517674555e-01
-5.477570183396218706e-01,5.300926080933525686e-01
-4.862967887512549270e-01,1.064483172430187030e-01
-5.212694456163295964e-01,2.280461518147762212e-01
-5.535805695993747388e-01,9.816780046203198440e-01
-5.450467232439423215e-01,4.790355448297722862e-01
-5.150867068736602050e-01,1.883024076751354525e-01
-4.495747601137314309e-01,6.859513291270628865e-02
-5.508216577073610232e-01,6.963304717646690012e-01
