generation,hypervolume
1,0.1694331386026363
2,0.1950154568640301
3,0.1987736451845683
4,0.20133304669622
5,0.2044290772933486
6,0.2178452552980217
7,0.2233012122214349
8,0.2305386375255556
9,0.2335658502656317
10,0.23956321396542
11,0.2434340171607136
12,0.2449120735475997
13,0.2466009904104873
14,0.2487184220433269
15,0.2509050383135449
16,0.2525089278666259
17,0.2536364145068362
18,0.2558562176610678
19,0.2588298276836679
20,0.2605998413278537
21,0.2610567452863535
22,0.2617372910888885
23,0.262774319205393
24,0.2638045092062728
25,0.2648116203884941
26,0.2674913764756847
27,0.2679681967762097
28,0.2691344682006534
29,0.2699624327820391
30,0.2705576460480784
31,0.2712179955319957
32,0.2720470118594894
33,0.2722852428921991
34,0.2726816081779624
35,0.2729513922588239
36,0.2732903206332336
37,0.2735692571004701
38,0.2736690208312056
39,0.2739713453181316
40,0.2740540207238987
41,0.274197276752988
42,0.2748386607989191
43,0.274937551625651
44,0.2755589692641583
45,0.2757142565489024
46,0.2758132500138015
47,0.275878209465897
48,0.2759208666288573
49,0.2760514052212734
50,0.2762992908446331
51,0.2762992908446331
52,0.2763278457409243
53,0.2766060327711764
54,0.2766800380921748
55,0.2767836581164042
56,0.2768996521181515
57,0.2769515441995062
58,0.2769973079868552
59,0.2770503852640466
60,0.2771037389079506
61,0.2773478153400871
62,0.277474919862343
63,0.277517511177156
64,0.2775870206860719
65,0.2776835620533351
66,0.2777250268112895
67,0.277821244502898
68,0.2779124351850202
69,0.2781389366277585
70,0.2782456828050619
71,0.2783284581983022
72,0.2783891703081532
73,0.2784555505495531
74,0.2788195919941302
75,0.2788896968268445
76,0.2789408104321097
77,0.2789576022914424
78,0.2790185906718029
79,0.2790419948710804
80,0.2790457117528446
81,0.2790806893070543
82,0.2790995965995967
83,0.2791384072485211
84,0.279248928008696
85,0.2792662023413991
86,0.2793406741819382
87,0.2793491796181638
88,0.2793531540812526
89,0.2793769907593395
90,0.2794134447875769
91,0.2794441658228158
92,0.2794798249419259
93,0.2795391415665885
94,0.279563573199367
95,0.2795645268229659
96,0.2796169038424195
97,0.2796594153147916
98,0.2796874056586635
99,0.2797082083766234
100,0.2797354428036539
101,0.2797354428036539
102,0.2797531735438563
103,0.27976682613916565
104,0.279794657066258
105,0.2798147269342645
106,0.2798557592075607
107,0.28013791394000337
108,0.2802786129074933
109,0.28028533557224294
110,0.28030570819710326
111,0.2803315976097506
112,0.2803730832640667
113,0.2803860825099348
114,0.28041005707652444
115,0.2804150935859187
116,0.28044036023273006
117,0.2804965989369527
118,0.280527994236673
119,0.28056418820636403
120,0.2805964299295877
121,0.2806016616294754
122,0.280613079809137
123,0.280618166598048
124,0.2806428606717095
125,0.2808551587262937
126,0.28088166314383356
127,0.2808960807597879
128,0.28090892932249295
129,0.28092525025319737
130,0.28092929429462404
131,0.2809498217714492
132,0.28095776454600774
133,0.2809683821173019
134,0.280969631527196
135,0.28098543117410885
136,0.2809857953925309
137,0.28098675491187763
138,0.281025140219778
139,0.28103011746028456
