opr,split,cr,far,pi_pe,ic_ratio,eta_th,specific_nox
22.962581930746392,0.32451827827099994,8.24570187820813,3.1850171925419146,1.5335452889408008,0.9783349331911421,0.5535645482521383,0.9997605603388875
24.004807457034286,0.3253151604733978,7.886270245573549,3.4345357252799005,1.535303059584123,0.9731222475275757,0.55648557491751,1.0471012519924339
22.9490491955105,0.3058192546768293,8.241642295455357,3.4932296354165553,1.4663850888712693,0.9734256453422461,0.5573174082904162,1.0575230926108714
22.9490491955105,0.30751262259494927,8.244358573690274,3.31402830768512,1.58664440634514,0.9781411268682989,0.5558085718872265,1.0251360558585778
21.774464785323545,0.3370591653509508,8.239131754654345,3.337215890221514,1.5780004948933595,0.9757091611561238,0.5545970551916002,1.0106258696252846
23.807284919668014,0.33833971120975515,8.244665355959693,2.868380900629223,1.5627738015859558,0.9783349331911421,0.5491902573794291,0.9479843832252789
22.703829591700817,0.3391441662287783,8.439083440817747,3.2674792894555913,1.5863348220520037,0.970454813330096,0.55455326963109,1.0009881104466551
24.283632469585015,0.3247883082194132,7.886270245573549,3.4345357252799005,1.5341501759022198,0.9731222475275757,0.5566346908272343,1.0483396890421517
23.176426914267847,0.33914803471407345,8.009978422740215,2.909565531805244,1.597276031079355,0.9777854664021246,0.5493320211241965,0.9501965440982312
24.19081161087661,0.3138331322274161,8.00714840264141,3.426096299088848,1.5976268162548675,0.9632097432055445,0.5571397308273479,1.0490588191666042
22.368786008445998,0.30697915454103836,8.244358573690274,3.2670058597280316,1.5863395248935537,0.9991066639597879,0.5550098952374366,1.012130330324824
23.371493411906506,0.3676271198063918,8.287786268634287,2.87171477182761,1.582630242045976,0.9259136584713065,0.5479058422384464,0.9419748631411728
23.320756783495927,0.3615640755134897,8.292563708633038,2.8718651849622767,1.5467559475024344,0.9429545558852847,0.5480293837186231,0.9424292110413152
22.703829591700817,0.3391441662287783,8.332396028449043,3.256057532480769,1.587077406274566,0.970454813330096,0.554253909194717,1.0005398850940321
26.0624467041981,0.3822240400414599,7.997711707734407,2.6571903416010043,1.548513017609535,0.9061889227955865,0.5439120120452426,0.9293300061318259
22.955876616080978,0.3138331322274161,7.9796209357675725,3.5079515060464876,1.513357256546279,0.9910562855480691,0.5571566233570029,1.056100645545818
23.759507373546807,0.29738289693407755,8.292518522313713,3.1025181105568915,1.590287721316681,0.9968668123641001,0.553540380095519,0.998790333917411
22.638009678179536,0.3391441662287783,8.439083440817747,3.2674792894555913,1.5863348220520037,0.970454813330096,0.5545196309073328,1.0007116551249504
22.703829591700817,0.3396776342826892,8.439083440817747,3.161188831073746,1.58663970350359,0.9688029791769158,0.5531574712675936,0.9847174342046017
22.920270751109417,0.31262765283930466,8.244517814407237,3.31402830768512,1.5905603730258189,0.9783392577814194,0.5557128570894027,1.022337095485723
22.703829591700817,0.3396776342826892,8.439083440817747,3.1060717933232067,1.58663970350359,0.9994936219606747,0.5524934385722065,0.9700945716232559
21.543968608544766,0.34209212469996636,8.519793100019747,3.0923502552871183,1.5937380742686713,0.9564856164620116,0.5517016281993733,0.9675382090990673
22.673745605834853,0.3391441662287783,8.439083440817747,3.2674792894555913,1.5863348220520037,0.970454813330096,0.5545377121080339,1.0008549899106571
22.821004455970595,0.3441640842008213,8.251630749228402,3.0416357889427137,1.597032711983467,0.9964256442543593,0.5513028649574837,0.9604163162771772
23.371493411906506,0.36741154858598307,7.934508273640686,2.87171477182761,1.569923228405241,0.9646948997522935,0.5475269047485435,0.9360934694433749
23.96790612097779,0.3253151604733978,7.886270245573549,3.4345357252799005,1.5379048781823301,0.9731222475275757,0.5564803041927907,1.0469698352058778
23.771548992012697,0.33833971120975515,8.244665355959693,2.868380900629223,1.5627738015859558,0.9783349331911421,0.5491793043232099,0.9477068407318633
22.920270751109417,0.325376811416891,8.245702043104233,3.162826371532949,1.5995789148627952,0.9768399034216375,0.5534876894794682,0.9930833642954326
22.368786008445998,0.3211405125016414,8.239208160330094,3.616557360163341,1.5722827143325808,0.9697133651561166,0.5586620917136946,1.0633058712288115
22.802741208184116,0.30697915454103836,8.244358573690274,3.2670058597280316,1.5863395248935537,0.9991066639597879,0.5552199619144169,1.0141480533749694
22.166183265282587,0.3396776342826892,8.439083440817747,3.1060717933232067,1.5592682300728211,0.9994936219606747,0.5520550594325175,0.968534869864157
22.387049256232473,0.3441640842008213,8.251630749228402,3.0416357889427137,1.590853067537081,0.9953436544020235,0.5510710183536093,0.9582982084097958
22.50179736623056,0.30751262259494927,8.239360508613736,3.367860598423611,1.5870284135276103,0.9991066639597879,0.5563137871263226,1.0279294754066373
23.561646639692764,0.3130137807276082,7.9796209357675725,3.5079515060464876,1.5769974152914066,0.9786523076453214,0.5578123386769973,1.0577100201382508
21.543968608544766,0.34209212469996636,8.519793100019747,3.158307068409626,1.5937380742686713,0.9563123363711754,0.5525660572231399,0.9780902278731333
