,T_out,eff,air_flow,p_max,T_max,power,heat_loss,p_tdc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1468.5497017026928,0.35306068345544145,0.920793876009179,387.8417701942993,2739.9117301576744,875.4032725669799,417.1996092520901,202.7945335354708
2,1246.2510450311975,0.3920112828105397,0.34487963406108324,435.3487122622642,2502.1495640876938,286.86716516697436,150.42302831877905,292.2369868370526
3,811.8870358649315,0.46141212264469256,0.5231424361924555,411.0715040151474,1755.8802383373256,289.36361721011934,75.54223009052077,327.72065419982334
4,1102.8379605348473,0.37323344975581224,0.06698086781769258,133.32024139027533,2341.7776261599247,40.4159497984108,39.8908307010145,119.6139537863719
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1366.7228941710794,0.35386449789561836,0.4344451241343976,382.08405846067876,2721.5772799402484,366.06586845538385,272.44059655668883,307.5466048932676
8,1103.9249468921582,0.28387506744227625,0.32919369521518366,209.85619081991337,2112.77907650117,114.69618002896513,157.11900558881766,199.8034940141631
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1167.4797525160159,0.381324604399753,1.0116927172080665,565.3423094529448,2261.4985812124814,880.3783824910711,224.35991662611093,203.24548905933005
12,934.7326805711482,0.45312857661171463,0.794978487136877,412.00452922077204,1994.7741799580228,642.5771783092697,123.29835957896094,209.9542181023925
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1423.4608550471576,0.3662590996404598,0.262808097135433,271.72827735441564,2771.770240197011,304.5373486702351,125.46967647428201,104.4780022692442
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1246.3907407647516,0.3557559492499653,0.08931949470939858,106.05944981428601,2598.1886748543184,68.64763951881743,66.93276162937218,82.62787609355081
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1040.8654455550102,0.3983155833774504,0.2439048919564101,364.963850770412,2168.307774136316,186.83633025762185,79.95472725755582,232.24571815817953
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1432.3279892174044,0.3481507224652847,0.6872938272600777,419.6992953069817,2695.9661210090208,688.1148846047952,300.8299315625285,177.5699270889194
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1528.046935104051,0.3372318712323474,0.35765081323059383,342.47221560372446,2976.6837019624727,366.9037185216073,281.9685499756304,226.80310730446124
28,1346.8955941995787,0.36782285199844106,0.19766531751571806,271.50209833909173,2658.9731860899346,213.03254775534413,83.8525076068695,101.95897346452688
29,1186.3912570584532,0.34986694042987476,0.972452021916156,385.7146068586048,2256.441759064616,498.0006640956938,374.33035496458393,325.3821886814493
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1337.2851848916118,0.3588016080233409,0.10394707356624809,148.19562700267895,2637.1645080097023,104.43351338704218,50.753994037713625,63.69053448045214
33,1431.7076307388338,0.3811205595695241,0.37895768791577145,488.18062585793723,2839.0082651706525,418.10268152633887,204.41787223907573,262.98064027105187
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1284.8247850120326,0.4125565497093195,0.5736383584420374,437.13490186265017,2638.7243744630005,690.7295054062492,225.19692712483007,205.65271227785573
36,1502.12969200926,0.3508521939294501,0.9382233347995813,495.0026583482023,2784.942510411873,999.3428708664723,393.89219506485125,201.46874304470495
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1462.0379084906358,0.34315047505553714,0.14036831652755424,167.92820675748825,2845.8950824141853,136.68438457676297,97.87227558931455,97.92457819277472
39,1264.9752455635503,0.38482444517484865,0.6652806603835529,361.7279479409409,2513.6101212934723,605.1445302387967,275.5933537467713,218.49168508830405
40,1333.8347009705458,0.39583440510198153,0.4244201495486414,296.8467982978109,2723.519313725861,473.46180829493073,207.39908375783395,170.9085755372118
41,1297.9838676494053,0.38034221804058105,0.31504596210540176,285.05868418673333,2625.2843810729523,303.1100556207979,164.60069013419596,175.340514130003
42,1184.6396955700372,0.379666485486662,0.6425968891349186,505.13122551299097,2309.8146244608447,542.0637958706917,186.4446319648158,225.22534125714267
43,988.5020950165954,0.3920901635153937,0.33891163214713044,299.6200923762703,2030.1966300347005,202.56914652361954,101.79099164572577,233.73667130316386
44,1048.701202762625,0.29415483576284357,0.14218844739172945,102.72170919188649,2036.944880362587,49.855016572755694,72.53454348991963,93.63931984054518
45,1144.0448870608566,0.40691022081353095,0.2647713227408591,257.5973958431541,2466.7188134102116,231.53229031886684,133.50563184822252,195.26030097990295
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1079.3171124976784,0.37812574937210097,0.18575557822057953,213.2458647539225,2244.058466346607,123.72017717656246,85.50680237081795,165.94396891929833
50,1236.6290805496064,0.35304567614690385,0.532588052620165,449.2138897636323,2314.918119373561,351.8700938741365,190.22961929596286,280.4819884238426
