opr,T4,split,cr,far,p_ratio,IC_ratio,phi_sc,m_wiebe,phi_cd,eta_th,specific_nox,thrust,bpr,bore,bpr piston,m0,T_in_piston,T_out_piston,T35,P max (bar),T max,T_max_twozone,piston_shaft_power,piston_indicated_power,piston_heatloss,m_nox_pe,m_nox_burner,core_power,core_power_per_litre,cooling_ratio,piston_fuelflow,burner_fuelflow,piston_fuelsplit,error,constraint_violation,is_feasible
21.68328591219099,1466.608657089089,0.18855258013889892,7.433637639153916,2.3300906508395833,1.0406179766440984,0.5170189696488252,359.81115988460346,0.7644692604299113,35.12068414586725,0.5064496427613756,0.9924604731180511,27140.999999989108,23.250192628591375,0.1938799884544765,0.01743365310182195,248.660000000516,633.1942229369378,1010.4762194166856,1030.761612024311,139.84982787563786,1939.4956784471033,2813.091293989725,3500165.298764593,3973726.1104914327,1761224.673907423,0.024265740695909397,0.002670629004976819,9086610.926560136,66.14573613045862,0.0770326956690077,0.24029330811132205,0.13115571945912918,0.6469078938852427,False,0.0,True
11.811750876661213,1362.2950019670805,0.34275048630760097,7.961259408315911,4.116645138028918,1.2971608068115086,0.587108916693696,342.00925725568027,2.049036400980701,24.611872963358454,0.49088675722353003,0.8562049428774058,27140.99999999989,18.79602341651897,0.16285360010470085,1.7367489653337085,248.660000000516,509.586221343937,1190.7735663895896,838.5610243767909,150.79482198350962,2557.9791470619407,3006.5633404037185,2839584.006242702,3117425.881957731,1299009.6143203303,0.02209870012396868,0.001139558230666895,9095133.900414087,111.7161300877368,0.04164752468928256,0.19333953087145692,0.1898793435504924,0.5045146358281333,False,0.0,True
11.942573898672695,1353.2330419305479,0.11702674865872414,11.70675361784787,4.56341886493673,1.2934099412921514,0.8088784732278037,342.12543655012587,1.537496902833606,50.36764661710529,0.5057935697212566,0.9078557509606547,27141.0000000003,20.061220554668274,0.16329474127427934,1.6587046885358365,248.660000000516,534.462228831133,1206.3654411519292,872.2169631613772,193.02833079616403,2568.4940932096265,2975.09353201338,3382745.213618834,3714071.958174746,1408414.8119854978,0.023469293331288676,0.0011708196055347222,9129890.290779421,111.23663402597188,0.041050070053569136,0.20736088899273092,0.16526746857268906,0.5564817727441097,False,0.0,True
14.567711780717893,1171.52712713539,0.44492993312356416,11.25522029215362,3.5286523912605468,1.0593121660841749,0.8616758406824856,340.74639565229126,4.704632177107878,90.69497340368288,0.4814290684885059,0.24032966378380097,27140.999999999905,14.777558873909907,0.17203867071910733,1.414472391038357,248.660000000516,497.18809759793,1205.3965243756545,835.4427042472938,123.90067093979565,1896.6551595362619,2551.932767932161,2913950.9306023372,3307792.1267491225,1166122.5215604398,0.005743332610094724,0.0007794547946613956,8930113.108883422,93.04169247991277,0.0,0.23568773081776342,0.15424834224061992,0.6044265896437722,False,0.0,True
21.040722732849364,1534.6197368751723,0.4163139932529942,5.386718358344887,2.7627021166305803,0.9777449264587859,0.34834925400633243,388.74752182997287,0.6025459814054996,47.2683317807393,0.4821171984495964,0.8188851651833121,27140.999999999993,21.622901621838665,0.19033878553488,0.112905432352632,248.660000000516,615.7891871258884,1201.2525717475203,1195.6732700776597,67.54005769196795,1794.9723494777684,2611.2904679922513,2866718.990797572,3268798.2996409633,1622109.6991473776,0.016813199929072483,0.005412162339167786,9123852.093509281,70.19323066390025,0.09114949740423922,0.27920143198792796,0.11068247914479262,0.7161142689288476,False,0.0,True
12.78192264056525,1473.382695085297,0.48801087103710483,9.497793219578444,4.38030773039329,1.1798610634854252,0.806763597792363,340.5143558001634,4.7889584238437255,57.003415934486405,0.470309274782426,0.6303169291931822,27141.00000000008,18.883401081922454,0.12753840980111186,2.882928381304546,248.660000000516,480.51153496327,1226.1912358200716,748.1561719164786,119.932202789722,2339.5431115938436,2761.0066113014736,2234129.7846042863,2442185.678564494,763675.9656927316,0.01608479198760997,0.0010226397876222384,9170508.530428413,234.51428544247415,0.06421921593321368,0.1443592838870939,0.25551117611600194,0.361015124462998,False,0.0,True
24.097294911294853,1565.6822074775005,0.3328287084828767,5.467353309968624,3.4936027963561234,1.4429818173517264,0.5002261893487459,387.92911430546235,2.0747182992001467,37.90169174225728,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
20.441740044228954,1384.7025543790169,0.4695535267120044,10.402173807117503,2.8035001708747656,1.9227521648388737,0.49172528461247655,373.7900432466763,2.6421750971393085,37.35840211375961,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
23.851040894211213,1462.3782898550462,0.09539425262926882,9.059076140233298,3.0854451797057276,1.0878028013909025,0.2213516598557872,388.1253705663189,4.479003732343015,50.583346095582336,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
24.78946486270088,1025.1808223087623,0.4575286006200862,9.908879363355124,4.460803410553831,1.203532083321691,0.37612381317906773,357.40218594559155,4.875978504700652,54.3567906338187,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
