generation,hypervolume
1,0.13612414509510512
2,0.14018960613432005
3,0.14264579475388106
4,0.14770931642794263
5,0.15192866205253558
6,0.1521466814151498
7,0.16226194943080247
8,0.16324654710679243
9,0.16563509901223564
10,0.16644414555031195
11,0.16677400382091245
12,0.17091594335297028
13,0.17497088363628954
14,0.17553845407547175
15,0.1761216339110129
16,0.17661965884568792
17,0.1776195668624439
18,0.17773627291128874
19,0.17828813024405865
20,0.17841051690338933
21,0.17903576725113313
22,0.17919667056119537
23,0.17922745361279843
24,0.17921513815248183
25,0.1792161051302727
26,0.1806991640651992
27,0.18169489334592043
28,0.18177174939732285
29,0.1817672288003379
30,0.18229537788246353
31,0.1823497264396886
32,0.18239788074000324
33,0.18239549133105465
34,0.18232903219694482
35,0.18234378333282864
36,0.18332141625119558
37,0.18351215843929125
38,0.18384452537934765
39,0.18391730565094405
40,0.18382144489110347
41,0.18388460964879644
42,0.1841842502104872
43,0.18417502668484242
44,0.18425223321044493
45,0.18424894691374352
46,0.18483713955064546
47,0.1850594728715581
48,0.185083230373182
49,0.18503475403910674
50,0.18522661319882855
