opr,T4,split,cr,far,p_ratio,egr_rate,eta_th,specific_nox,thrust,bpr,bore,bpr piston (bar),m0,p_in_piston,T_in_piston,T_out_piston,T35,P max (bar),T max,T_max_twozone,piston_shaft_power,piston_indicated_power,piston_heatloss,m_nox_pe,m_nox_burner,core_power,core_power_per_litre,cooling_ratio,piston_fuelflow,burner_fuelflow,piston_fuelsplit,egr massflow,equ_piston_in,piston massflow,core massflow,intercooling power,egr_cooling_power,egr_cooler_effectiveness,T25,T26,intercooling_T_in,intercooling_T_out,egr_cooling_T_out,m intercooling,fan power,turbine power,error,constraint_violation,is_feasible
18.34044009405148,1260.162246721079,5.718740867244332e-05,7.325658298950238,2.440267672451339,1.1461692973843989,0.09313010568883545,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
16.911214540860954,1098.383737115335,0.2694083670016785,8.611139658436244,4.055658501190278,1.2022261248657589,0.4390587181954727,0.4619791156187579,0.04039411334829336,27140.999999999905,16.642035168477044,0.23004858822278113,1.065741732488533,248.660000000516,5.594246681387348,543.0335806148792,964.5127041416697,794.0637752098947,101.16094445401558,1699.3134807576262,2266.373203754037,3802506.4258065447,4387583.657900897,1630636.8908921815,0.0005717285629006036,0.0005246080674854226,8567917.515621316,37.33493818028466,0.0,0.28315668702789953,0.12456072441405977,0.6944925065291414,5.340555407005397,0.26103431946921846,12.163647333903377,14.094745737998757,602137.4596798347,3895600.0559169487,0.6660694690216431,349.91276858177366,307.4797094404276,289.29411266556497,331.72717180691103,512.5990828389023,14.11067111327408,8018727.965840625,9122508.497184621,False,0.030048588222781114,False
10.547751863958524,1235.2337550892012,0.20865240118356349,10.145588112903269,2.421160815785701,1.1990507445424394,0.40037228433776834,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
29.36523151438795,1056.7120890796214,0.34616130783465704,13.640280675256422,4.683819990511542,1.142522105684889,0.01952739161644118,0.5490647253469547,1.0755365204395193,27140.99999999992,15.419470672060854,0.13044751321777542,1.4796960451175993,248.660000000516,9.714047950288295,599.7866809372038,1292.3794953979166,944.1381746891243,326.98748201114626,2459.147466476005,2840.8474760643116,4744454.138121181,5194408.622107204,1766620.9977910984,0.02865973125437595,0.0005314054468729578,8871205.853877595,212.01867735361327,0.0,0.292706754536919,0.04980003427894224,0.8546013220610474,0.12163459079866978,0.01310415156447698,6.228921567602453,15.14421536277856,1136984.6518119106,137212.97695963475,0.7457735082423979,395.5724357241449,321.177609583139,289.29411266556497,363.68893880657095,370.3622004087249,15.182484157376232,8010335.929150804,9893012.541934919,False,219.36697740906283,False
13.396608391291378,1339.0712517147067,0.04917341691652505,8.632183875055574,4.873668590451506,1.3665826424865086,0.3459385569752367,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
16.31031262012126,1243.2504638407918,0.41731283594868646,4.20117105078611,4.250432944834902,1.5944305444532474,0.3740828271899197,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
15.608879841288104,1294.6396642257441,0.05161300328882101,8.926828787934957,4.725786509279287,1.2468070741868398,0.14388766929317437,0.5057637602709671,0.9457378267666756,27141.000000000255,20.97952967110892,0.18590138071936774,0.9673139985858928,248.660000000516,5.163433060429638,591.6018969188519,1276.2994918976797,1018.9546494484397,113.3826986907516,2276.8933883848,2647.222896642872,3904266.335931153,4321681.306564423,1704304.1399040641,0.024184629585187134,0.001483640771087449,8980636.820654273,74.15802663647017,0.028051418061602888,0.278081547279258,0.09395712121015702,0.7474533451276713,0.9665107253658647,0.09794633908102543,6.717119890215034,11.313253910404102,29244.118882124727,1153502.6832708498,0.6955251445966203,292.9695762305167,290.3967517350505,289.29411266556497,291.86693716103116,362.3097889462584,11.313787861222863,8040970.040235595,8296375.534823889,False,26.299491897679673,False
12.600571442365553,909.6834789351485,0.3394177664699455,6.32790927600065,2.7966399781166786,1.3457865796401691,0.026681272558540192,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
21.482352109840264,973.364287452905,0.2946527684516421,11.697341960230244,2.3070032864834777,1.3070279939097842,0.34720007886387255,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
18.283585390538054,924.9767294730436,0.2679482029577558,11.301741097417677,3.5446673361749257,1.5722973779954068,0.29327752025099646,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
