1.905276317301941091e+01,1.195184916963716205e+03,4.657047994287714654e-01,1.018682342080136038e+01,3.250151212345324669e+00,1.925496736320237101e+00,9.938732235175479213e-01,3.500126154087593591e+02,1.837487216466167084e+00,9.795856779951277815e+01
1.973500290783083244e+01,1.155453595454186143e+03,4.380655360760957184e-01,1.009514721073199439e+01,3.268607467766284636e+00,1.827726737374582910e+00,9.209875742741872040e-01,3.562162005585545899e+02,1.338034394849997755e+00,9.998551668100139977e+01
1.767557467240576230e+01,1.179988244935164175e+03,4.832268458923474896e-01,1.008230029750332690e+01,3.244434798204144599e+00,1.830816035228305827e+00,9.612059593767140475e-01,3.621857153305785459e+02,1.411841985380667408e+00,9.525247048074285772e+01
1.797697798449893014e+01,1.147343693536186265e+03,4.145323186126775306e-01,1.006395509244975450e+01,3.426652950203681769e+00,1.940076086990921711e+00,9.824325915139934251e-01,3.481509825960541207e+02,1.644724838068578610e+00,9.512214836771073578e+01
1.250743468956513915e+01,1.173542421014414003e+03,4.564141242528665376e-01,1.118058432756467724e+01,3.189493901759937966e+00,1.187874955571171398e+00,9.877027659729833431e-01,3.631252883858836071e+02,1.853828180247770963e+00,9.867376374867778566e+01
1.905276317301941091e+01,1.156798852302064461e+03,4.615636068363476174e-01,1.018682342080136038e+01,3.248847239417665733e+00,1.921940219176153875e+00,9.938732235175479213e-01,3.500126154087593591e+02,2.056903281469489198e+00,9.802086163757148540e+01
1.791049215205390865e+01,1.151721435627577648e+03,4.144858331154244735e-01,1.007437349873862864e+01,3.530541859946543681e+00,1.931509478360126542e+00,9.658169084359757850e-01,3.496834997128205487e+02,1.234602795602982361e+00,9.763188165481223280e+01
1.788047558910529844e+01,1.185237477077162794e+03,4.515615303799809799e-01,9.980561283991908894e+00,3.425492218970717762e+00,1.922143675150566944e+00,9.994391869141772133e-01,3.488390710552296810e+02,1.734552956629414888e+00,9.774200991759261115e+01
1.250743468956513915e+01,1.173542421014414003e+03,4.569515844682918715e-01,1.118058432756467724e+01,3.178062999523308285e+00,1.187874955571171398e+00,9.877027659729833431e-01,3.631252883858836071e+02,1.852559576833616717e+00,9.867376374867778566e+01
1.791049215205390865e+01,1.130465817047687779e+03,4.144858331154244735e-01,1.007437349873862864e+01,3.530541859946543681e+00,1.931509478360126542e+00,9.655678309499112766e-01,3.491940028251653985e+02,1.234602795602982361e+00,9.763188165481223280e+01
1.987224906606305197e+01,1.147726906337939226e+03,4.493607791551449959e-01,1.008717259337220540e+01,3.187773037228174733e+00,1.434719142632093103e+00,9.871037505406414780e-01,3.631336822471830601e+02,1.725359552711704270e+00,9.884132357874661068e+01
1.771334565809285522e+01,1.180414829087988664e+03,4.140033271225639355e-01,1.057728972024141001e+01,3.658908064749557987e+00,1.929401137616264750e+00,8.284255127986329681e-01,3.485287840762612745e+02,1.639161399307923039e+00,7.846436254699645474e+01
1.905276317301941091e+01,1.195690213038235925e+03,4.656777193484684108e-01,1.017575424356550329e+01,3.250151212345324669e+00,1.925695435709965597e+00,9.985399371645051758e-01,3.500126154087593591e+02,1.857320373245276768e+00,9.653167875269556930e+01
1.229660580918162438e+01,1.183712766396369489e+03,4.911804071468378052e-01,1.176017917507089727e+01,3.013995597649177682e+00,1.058492490277552767e+00,9.261784755243347433e-01,3.618051647613896762e+02,2.187020278601384593e+00,9.948069571119189902e+01
1.899354388712449904e+01,1.147726906337939226e+03,4.493607791551449959e-01,1.008732649291987826e+01,3.185068485825537810e+00,1.434719142632093103e+00,9.871037505406414780e-01,3.631336822471830601e+02,1.844871176070969510e+00,9.884132357874661068e+01
1.791112618592205052e+01,1.151650686254596167e+03,4.145336251595301280e-01,1.008256051138079989e+01,3.431786462941600391e+00,1.931780758392370068e+00,9.821218549632703132e-01,3.503087097443725497e+02,1.418570744564223940e+00,9.764304053415138185e+01
1.769666229238252697e+01,1.150231220294109562e+03,4.654489129909255007e-01,1.058631332405189696e+01,3.396246715521366255e+00,1.785429345253785272e+00,9.696357670029525089e-01,3.565065333024779761e+02,1.651991061656598259e+00,9.529430676567614000e+01
1.725330287458503875e+01,1.176303788347943737e+03,2.145942948629949720e-01,1.082409630125447819e+01,3.669441613107812916e+00,1.825061818889677667e+00,8.240323278718755251e-01,3.618082767353760687e+02,1.731158107375771138e+00,3.808552622343335514e+01
1.724967901030307971e+01,1.176405592111681472e+03,2.145942948629949720e-01,1.008999905255224228e+01,3.667532680717081828e+00,1.825838016606903480e+00,9.898501951436055046e-01,3.618446825615882858e+02,1.427340047633156583e+00,3.716311118080185594e+01
