generation,hypervolume
1,0.124705541924732
2,0.1378804744760738
3,0.1409728417325517
4,0.1479870822643862
5,0.1510304982269534
6,0.1543479245991254
7,0.1561348747123588
8,0.1576504223868374
9,0.1583149012466951
10,0.1595881337674536
11,0.1605300523779734
12,0.1652754810499058
13,0.1660226354740812
14,0.1668138171813623
15,0.1676656716261941
16,0.1681276271013541
17,0.1684832903214164
18,0.1695463548456102
19,0.1700497096446557
20,0.1703700571922911
21,0.1706640901019216
22,0.1709092231625808
23,0.1714359133642342
24,0.1716529964116174
25,0.1719286232711102
26,0.172353689076891
27,0.1725241029204923
28,0.1726721573483059
29,0.1728440777988476
30,0.1729664445110957
31,0.1730858086672549
32,0.1732809283027274
33,0.1734021555732385
34,0.1735147066354715
35,0.1736383533647157
36,0.17369164977932
37,0.1737737299284186
38,0.1738518380523475
39,0.1738905316830717
40,0.1739616815892225
41,0.1740616461573482
42,0.174142369585483
43,0.174204858275401
44,0.174248815512274
45,0.1744138406934152
46,0.1744754179231598
47,0.1745757222446373
48,0.1747004092998532
49,0.1747616906433975
50,0.1748316172722647
51,0.17483161727226476
52,0.17488764037762644
53,0.17495670860749574
54,0.1750375721918605
55,0.17507008139595326
56,0.17514383530144279
57,0.17516484659431178
58,0.175182486258824
59,0.17527306957061745
60,0.17525222043675245
61,0.17527657556021914
62,0.17531400130013075
63,0.1753412727385083
64,0.17540302954996556
65,0.17543918165969857
66,0.1754746844998114
67,0.17541094165184629
68,0.1754586904230258
69,0.17553244087696038
70,0.17555233829443642
71,0.17576057776554405
72,0.1757522007976609
73,0.17579254857061644
74,0.17586255015397506
