1.022685874195828887e+03,4.613604126673445660e-01,2.041930610343708707e+00,3.668090920280941987e+02,2.216647839223111077e+03,1.637517300694310734e+03,4.095653423877046748e+02,3.126812232412759158e+02
1.305796611524144282e+03,-3.635897209208692471e-02,5.392303332153451478e+00,2.280242046616994003e+02,2.647515843579933517e+03,-1.494431389576778031e+02,2.811905817309397207e+03,2.263781746999088966e+02
1.187279308760804952e+03,3.930578266871169735e-01,3.085291967345747954e-01,1.130223474657194203e+02,2.591191122088832799e+03,1.849014251383377996e+02,1.520681476642670873e+02,1.063294586114444087e+02
1.334450146262820454e+03,3.997554532392939564e-01,2.341714469163048484e+00,1.723282414305429029e+02,2.860073612359635717e+03,1.552709634230319807e+03,1.412256266751547855e+03,1.614096079759611371e+02
1.557873288735297592e+03,3.084597282975677368e-01,1.738850158543024049e+00,7.295958522327761386e+01,3.244549114742190341e+03,1.125155209418829600e+03,1.415112618472295480e+03,6.930865058561344938e+01
1.527160987261358741e+03,2.586674418457739488e-01,8.526363295763172978e-01,1.384948121779488588e+02,2.987556920656687907e+03,3.991150680731077500e+02,6.038332380936843720e+02,1.313562692391990367e+02
1.647846337367865317e+03,1.471359096485663487e-01,2.892354978033248258e+00,2.073454447487870311e+02,2.900738792966265919e+03,7.041514680227946883e+02,1.908190646078251575e+03,1.967956225165350190e+02
1.192491694952062062e+03,3.549959344424707952e-01,3.645039724721707231e+00,1.765147624983239041e+02,2.278133005008156488e+03,2.190689127987313896e+03,8.919741292188872421e+02,1.539424798130765737e+02
8.540537929084352982e+02,1.190383476713307298e-01,1.084046122863125738e+00,3.845319354528987787e+02,1.718428295036110967e+03,7.766957446423390365e+01,2.466920776874725334e+02,3.775928026315667125e+02
1.175473111518899032e+03,3.415311804119063877e-01,9.192443694784262931e+00,1.871954680664322552e+02,2.200010930356534573e+03,5.243535982549994515e+03,1.883962834019660022e+03,1.619328525224051134e+02
1.192203380578323731e+03,4.306368420887782267e-01,5.653545851604483197e+00,5.112728155227171101e+02,2.491268074914872159e+03,4.878423451312870384e+03,1.437993849808850655e+03,4.487303488699797072e+02
9.948953242191349773e+02,2.505436280436254548e-01,5.830287424044178657e+00,1.409623009358189734e+02,1.790916248714173435e+03,1.303208263784285236e+03,1.093401940138922782e+03,1.309877144746573094e+02
1.379202276465034629e+03,3.241611360241655193e-01,1.527141631036985636e-01,4.364350018363585804e+01,2.573524306352049734e+03,8.970234722986576514e+01,7.895594332221628520e+01,3.791687589822916493e+01
6.173878427777850675e+02,5.079324263264255457e-01,2.472776981608001634e+00,9.749048971088890880e+01,1.505067865645881056e+03,9.704068251895996582e+02,2.127742897387725804e+02,9.153139641695644002e+01
