1.611154380337423163e+03,3.548218986313315115e-01,7.748932638500221071e-01,2.745792331013897183e+02,3.186084346436571650e+03,6.257151205606132862e+02,4.680185779806387814e+02,2.511116004662612227e+02
1.149612205557347806e+03,3.343012129498633134e-01,2.802428771421803244e+00,2.237975721785039980e+02,2.612156671659886342e+03,9.529949754767590093e+02,1.516366710229393220e+03,2.196951890161423080e+02
1.345780288096971617e+03,9.017147492704091771e-02,8.022722477637246996e+00,6.372306760318841157e+01,2.003194046790343236e+03,8.266234936891195275e+02,2.434370690449615267e+03,5.745004622305628317e+01
1.400685897254975089e+03,3.785219410586766475e-01,4.302190426554115099e+00,2.885598419594421671e+02,2.709297098876952987e+03,3.281694372091836613e+03,1.420649474764426259e+03,2.530022129866544276e+02
1.380513279479380117e+03,2.419028621921236466e-01,9.667981207533168364e-01,9.956471945214931907e+01,2.821948905791279685e+03,3.135095210125999756e+02,6.581920837687335961e+02,9.659105321195892202e+01
1.723773738034933103e+03,3.665097730034183598e-01,2.363088149085783130e+00,4.190552122508226489e+02,3.654285604591218089e+03,2.412259135594567852e+03,1.998111447531711519e+03,3.939017298951883390e+02
1.606734409856185721e+03,2.783429707158777133e-01,7.567640001368196589e-01,1.720951988602491269e+02,2.874613160049962062e+03,3.898102846713544523e+02,4.266596908933988175e+02,1.562692216519284614e+02
1.050018609827308183e+03,4.026297137638075729e-01,7.790368753764135290e-01,5.120129697387119450e+02,2.266810461194321761e+03,5.182648697298305933e+02,2.523331234164966190e+02,4.662416171092738750e+02
1.305176931632570813e+03,3.741271982911940075e-01,1.392946894707513539e-01,1.399176569535071337e+02,2.647785622138506824e+03,1.349418060227004617e+02,6.490907491309053512e+01,1.129141187389915757e+02
1.523062556726801404e+03,2.477816954997657806e-01,4.417744503091063368e-01,1.700729099649296074e+02,3.202309158198506339e+03,2.137674912638313174e+02,4.008802997262058057e+02,1.645544034513377483e+02
1.017880758514231161e+03,4.203700837859531969e-01,1.347476565015153049e+01,2.306674633561289625e+02,2.035128140697928075e+03,8.633449304723078967e+03,1.748465519868213732e+03,1.916139652737352890e+02
1.222567852973578511e+03,1.825152858995707505e-01,4.039517913336809762e-01,1.923193757765346561e+02,2.160253629844572060e+03,8.627643792785283949e+01,1.603276001684502035e+02,1.799751929841179674e+02
1.119436135503212199e+03,1.458403862421631947e-01,2.184543147762110227e+00,2.199869887429405253e+02,2.340651895463543042e+03,2.480401951489049281e+02,1.120109355097715479e+03,2.170183670317457825e+02
1.267135433640143219e+03,3.747177242650297502e-01,1.177224625457231966e+01,3.058412807026473956e+02,2.486199830868632489e+03,8.883692162009594540e+03,3.022295714280100128e+03,2.689019962734991509e+02
1.161500909324942995e+03,1.967549721116590433e-01,6.160799081498693042e+00,1.468866803941233172e+02,2.333113165826146542e+03,6.477138426115513994e+02,2.287377438494987473e+03,1.454782234351898182e+02
