opr,T4,eta_th,specific_nox
30.76923076923077,1600.0,0.4904923696310107,0.17346742697922243
31.53846153846154,1600.0,0.4904923696310107,0.17346742697922243
46.15384615384615,1600.0,0.4904923696310107,0.17346742697922243
43.07692307692308,1600.0,0.4904923696310107,0.17346742697922243
50.769230769230774,1600.0,0.4904923696310107,0.17346742697922243
50.0,1600.0,0.4904923696310107,0.17346742697922243
45.38461538461539,1600.0,0.4904923696310107,0.17346742697922243
37.69230769230769,1600.0,0.4904923696310107,0.17346742697922243
53.07692307692308,1600.0,0.4904923696310107,0.17346742697922243
32.30769230769231,1600.0,0.4904923696310107,0.17346742697922243
60.0,1600.0,0.4904923696310107,0.17346742697922243
56.92307692307692,1600.0,0.4904923696310107,0.17346742697922243
56.15384615384616,1600.0,0.4904923696310107,0.17346742697922243
40.769230769230774,1600.0,0.4904923696310107,0.17346742697922243
33.07692307692308,1600.0,0.4904923696310107,0.17346742697922243
36.92307692307692,1600.0,0.4904923696310107,0.17346742697922243
51.53846153846154,1600.0,0.4904923696310107,0.17346742697922243
49.23076923076923,1600.0,0.4904923696310107,0.17346742697922243
36.15384615384615,1600.0,0.4904923696310107,0.17346742697922243
40.0,1600.0,0.4904923696310107,0.17346742697922243
38.46153846153846,1600.0,0.4904923696310107,0.17346742697922243
47.69230769230769,1600.0,0.4904923696310107,0.17346742697922243
53.84615384615385,1600.0,0.4904923696310107,0.17346742697922243
43.84615384615385,1600.0,0.4904923696310107,0.17346742697922243
46.92307692307692,1600.0,0.4904923696310107,0.17346742697922243
58.46153846153847,1600.0,0.4904923696310107,0.17346742697922243
57.69230769230769,1600.0,0.4904923696310107,0.17346742697922243
44.61538461538461,1600.0,0.4904923696310107,0.17346742697922243
39.23076923076923,1600.0,0.4904923696310107,0.17346742697922243
59.23076923076923,1600.0,0.4904923696310107,0.17346742697922243
33.84615384615385,1600.0,0.4904923696310107,0.17346742697922243
48.46153846153847,1600.0,0.4904923696310107,0.17346742697922243
55.38461538461539,1600.0,0.4904923696310107,0.17346742697922243
35.38461538461539,1600.0,0.4904923696310107,0.17346742697922243
30.0,1600.0,0.4904923696310107,0.17346742697922243
34.61538461538461,1600.0,0.4904923696310107,0.17346742697922243
42.30769230769231,1600.0,0.4904923696310107,0.17346742697922243
41.53846153846154,1600.0,0.4904923696310107,0.17346742697922243
54.61538461538461,1600.0,0.4904923696310107,0.17346742697922243
52.30769230769231,1600.0,0.4904923696310107,0.17346742697922243
36.92307692307692,1610.2564102564102,0.49093115760048534,0.17443901554137986
40.769230769230774,1610.2564102564102,0.49093115760048534,0.17443901554137986
53.84615384615385,1610.2564102564102,0.49093115760048534,0.17443901554137986
40.0,1610.2564102564102,0.49093115760048534,0.17443901554137986
38.46153846153846,1610.2564102564102,0.49093115760048534,0.17443901554137986
58.46153846153847,1610.2564102564102,0.49093115760048534,0.17443901554137986
43.84615384615385,1610.2564102564102,0.49093115760048534,0.17443901554137986
36.15384615384615,1610.2564102564102,0.49093115760048534,0.17443901554137986
30.76923076923077,1610.2564102564102,0.49093115760048534,0.17443901554137986
53.07692307692308,1610.2564102564102,0.49093115760048534,0.17443901554137986
49.23076923076923,1610.2564102564102,0.49093115760048534,0.17443901554137986
50.0,1610.2564102564102,0.49093115760048534,0.17443901554137986
37.69230769230769,1610.2564102564102,0.49093115760048534,0.17443901554137986
32.30769230769231,1610.2564102564102,0.49093115760048534,0.17443901554137986
51.53846153846154,1610.2564102564102,0.49093115760048534,0.17443901554137986
33.07692307692308,1610.2564102564102,0.49093115760048534,0.17443901554137986
47.69230769230769,1610.2564102564102,0.49093115760048534,0.17443901554137986
46.92307692307692,1610.2564102564102,0.49093115760048534,0.17443901554137986
60.0,1610.2564102564102,0.49093115760048534,0.17443901554137986
56.15384615384616,1610.2564102564102,0.49093115760048534,0.17443901554137986
45.38461538461539,1610.2564102564102,0.49093115760048534,0.17443901554137986
43.07692307692308,1610.2564102564102,0.49093115760048534,0.17443901554137986
46.15384615384615,1610.2564102564102,0.49093115760048534,0.17443901554137986
31.53846153846154,1610.2564102564102,0.49093115760048534,0.17443901554137986
44.61538461538461,1610.2564102564102,0.49093115760048534,0.17443901554137986
33.84615384615385,1610.2564102564102,0.49093115760048534,0.17443901554137986
56.92307692307692,1610.2564102564102,0.49093115760048534,0.17443901554137986
30.0,1610.2564102564102,0.49093115760048534,0.17443901554137986
48.46153846153847,1610.2564102564102,0.49093115760048534,0.17443901554137986
57.69230769230769,1610.2564102564102,0.49093115760048534,0.17443901554137986
59.23076923076923,1610.2564102564102,0.49093115760048534,0.17443901554137986
39.23076923076923,1610.2564102564102,0.49093115760048534,0.17443901554137986
54.61538461538461,1610.2564102564102,0.49093115760048534,0.17443901554137986
42.30769230769231,1610.2564102564102,0.49093115760048534,0.17443901554137986
