2.280084752309812401e+01,3.563811155557379262e-01,8.847311475758500521e+00,2.894325703412047535e+00,1.598137209860783337e+00,9.998725586682630784e-01
2.021508465652060949e+01,2.575736847879234181e-01,9.378590193927358598e+00,3.649658617868586585e+00,1.599029827963483141e+00,9.988895615356566671e-01
1.954118191448121422e+01,3.151700512410911537e-01,9.836471566889084528e+00,3.277127283018898662e+00,1.599743843712750246e+00,9.998757093977621579e-01
1.917458358691724030e+01,2.908635988237664449e-01,9.735745472142498969e+00,3.661292655802228957e+00,1.599481475782018602e+00,9.999858063046476175e-01
1.957184693484989069e+01,3.302450300137966810e-01,9.609639953955483094e+00,3.277127283018898662e+00,1.599801463014919989e+00,9.993233936455762079e-01
1.917458358691724030e+01,3.161575105433917510e-01,9.735745472142498969e+00,3.602416826777317560e+00,1.599481475782018602e+00,9.999858063046476175e-01
1.957184693484989069e+01,3.412863390021074750e-01,9.821225914794336376e+00,3.277127283018898662e+00,1.599302458358381251e+00,9.944992747829032309e-01
1.969744284256652378e+01,2.802649633071136459e-01,9.574707109165066399e+00,3.643709539168523914e+00,1.599712128266353339e+00,9.983561868903121361e-01
2.029964652896845578e+01,2.592909258985655052e-01,9.378857682907298710e+00,3.631526740425192301e+00,1.599795311536269748e+00,9.992642798052858710e-01
1.994523701107365454e+01,3.150277935317175593e-01,9.430811628382837597e+00,3.485735339317385773e+00,1.599872198139919544e+00,9.995059322731824070e-01
1.925462875394691054e+01,2.955687312469327255e-01,9.743587550177572609e+00,3.497865246026945041e+00,1.599439062224419228e+00,9.988444345818083825e-01
1.917458358691724030e+01,2.908635988237664449e-01,9.735745472142498969e+00,3.602416826777317560e+00,1.599481475782018602e+00,9.999858063046476175e-01
1.917458358691724030e+01,3.023243120452556720e-01,9.735745472142498969e+00,3.602416826777317560e+00,1.599481475782018602e+00,9.999858063046476175e-01
2.038582121383164392e+01,3.216550683576264169e-01,9.557958263687023504e+00,3.165694570812986441e+00,1.599604736780815051e+00,9.997391306237579656e-01
