,T_out,eta,air_flow,p_max,T_max,power_indicated,heat_loss,p_tdc
0,1058.7276157236304,0.4464455872710619,2.0077043181167378,307.39903589866174,2319.6303564833865,1871.210693857068,708.0222183035175,183.35801523440105
1,1202.6447204654164,0.0433441814149418,5.572678706244883,202.43918492735168,2332.8759370293355,221.13540053103816,4010.261707289428,202.35460124961247
2,1126.5435187623586,0.3986842331642978,0.3239944173937696,88.95702438190453,2500.719037069039,236.5436520178698,234.13134312009444,80.5590864386049
3,1251.4657083146742,0.38887454334303,2.4635587231549128,142.64523450682813,2742.387663939775,1908.4056680827125,2210.719399028961,125.33605665656997
4,1419.4175830335091,0.325465153529446,1.828437547110224,55.42594526719852,3030.201188724268,1499.3736514125876,2170.198778965874,52.73911681781153
5,1377.319335932928,0.2916479390629287,0.9044274804598484,109.56012918584172,2808.847970794817,573.3221034155248,953.1245260340596,102.3280380403048
6,1480.5211458295532,0.2006425596145253,3.0573167356593167,170.09604543334933,2731.978715484979,1219.0816231623662,3061.9913685577244,158.07473802766873
7,1192.752592454008,0.3622917213679817,3.672727113525352,152.42434621104977,2348.573685771304,2705.674782245367,1527.6247312708451,100.4400339834922
8,828.6293098804942,0.1708926963500569,1.0897647186554795,325.1343365594456,1615.7165733676077,134.63127011071637,353.3293882947499,325.0396235634444
9,1192.826664278365,0.3457813480725941,8.976553395672527,157.7522981877714,2288.254590166288,6226.551067815712,3252.2006128508187,101.4224138599666
10,1210.5288426970117,0.4243244579440046,5.652210187342836,410.2546898206687,2548.925411891988,5772.144921806294,2453.834658511073,275.1372094250328
11,978.1346786028392,0.2746906839068448,5.902883535424657,119.95543366529051,1807.9324026555448,1737.489113443763,1817.7838167985328,103.49934200238631
12,1293.2913772549211,0.3326285911892125,0.1624248023781678,42.28042655433775,2560.623156635927,117.58419278145476,132.39833284379074,26.588905011682712
13,670.2228670540893,0.4870139254717561,2.3646794501902466,69.90811931744072,1555.953501928286,1068.6800342078177,301.37777203068725,68.0060207683837
14,1414.328763206012,0.3622141567135213,0.2027715453133059,129.02436442400037,2929.800865024048,202.21181777025933,192.79846154544737,82.95200578095006
15,918.7663689827136,0.3937577544103116,0.4794547393404461,226.82285632241275,2158.9494738498065,183.51910057485304,298.55374481465327,226.6879078552824
16,1505.802140601456,0.2856136055650757,2.2479072639133766,144.02835460066436,2828.184137488207,1822.2902241747413,2056.429797550495,88.29026260371013
17,963.3346974468004,0.317719860232244,0.8201583558099856,140.35686434414202,1990.799818390672,302.21739789557506,377.64658946534274,140.3114574827831
18,1300.2013040081142,0.1766506216888216,5.644699173742261,99.68218650132944,2097.6264591173926,1575.5254580177054,3198.2399574407536,68.89069094286896
19,1115.4551395427875,0.2938744033378427,0.2736554939001778,199.25749565919327,2449.4858844828764,164.54865090030015,268.54462990829205,199.13319370849896
20,1011.1979893553242,0.1168146937553919,0.7493993856724702,145.66088894681087,2119.988182847886,86.47403756088748,623.5036908797409,145.55833616014064
21,1447.0663903753737,0.4058305458512295,11.828381854209317,390.3948132155464,2951.072369390384,15254.40919505517,6640.923457315581,221.3404761313789
22,1081.2150934428382,0.3755829296146025,3.298774101359547,111.24578468539109,2189.444770506564,2480.62276925198,1206.813099303257,61.85458800221814
23,1032.6439610224695,0.3798488001543245,0.7541617827481659,92.19363211140396,2060.2839256994207,511.8117951254953,218.65421361152315,47.565186185321394
24,607.0287247981063,0.5213629664520232,0.7814759880212914,459.1935190396562,1507.3492571544773,385.48629078433584,104.1650113976922,459.1235990848576
25,1415.878841492451,0.1421763667847589,1.279924051759582,42.37639257275373,2308.584763857799,356.58773846168447,1223.6495730548136,29.304592531442257
26,990.006189027811,0.1380545709566869,5.7697241043300735,77.23166366989835,1577.7747310409384,675.4638230617473,1996.1406758982807,63.57014903611376
27,1409.3935684470457,0.3225920804689931,0.1245484571642213,96.88139500514797,3047.9342645946704,124.81389044398568,180.81921424406164,70.90333125411482
28,1246.5018597045164,0.0233108362311124,1.547669557300949,83.99422870855818,2114.6173139751777,33.70044959451867,1172.807223553603,83.96918271596547
29,1370.8038519791985,0.3017721928503212,0.4384897720059016,351.8899454956981,2992.5143260411064,337.37756838836737,591.7784127804183,351.63985194216366
30,1477.3724897288375,0.3191340185240814,1.0206996752923836,185.45925471839905,3033.888528352842,872.6944936057091,1163.0495381075957,162.5061185650095
31,1638.744528878368,0.2838944907232882,3.1024780929126448,121.77495482190568,2925.1403007476406,2320.8454775993614,2773.185924705306,76.94181579928131
32,1082.7250994147776,0.3029483610677218,0.6483101287444188,57.02132722705981,2528.8099234913384,315.1228845122388,760.4218398954314,56.97206431379158
33,1394.4623716373892,0.4120463611682373,5.891657020457009,225.73492201849564,3038.859452983648,7055.640631819198,4809.962120554444,193.93978453811383
34,1423.63452186023,0.3526466025894074,1.3989354098779423,389.16742732175936,3047.560750973701,1581.8391175748618,1572.4715151945,333.52217119865696
35,1731.2737676048898,0.2883547520305176,1.9021899895310768,140.29201096441457,3232.303862146048,1915.22086677551,2260.1254310588206,83.60369056756615
36,1392.098303878472,0.3688364226803399,2.679947626588937,298.927729403846,3111.786001066245,2652.2736832903406,3201.708542195316,298.76647095687315
37,1727.4547849746702,0.3285704940543509,1.1746974440845055,154.1351030857665,3282.925787547632,1333.2044643365111,1211.4904394845648,89.53547805940343
38,1241.3507292028507,0.3675380751986194,0.1044270455170429,36.7814766478604,2738.301664974368,106.02315775794315,98.57951346005282,22.841820024982606
39,1068.5788626509052,0.4373327411873201,6.206900222244077,349.91577492755664,2364.2057287993093,5577.270990272233,2653.822395991127,314.3228490549324
40,1407.8107837346352,0.3321280808609858,2.3416461854119364,343.34327407719377,2865.410898487816,1989.314499131072,1967.3820499465053,335.90537746181747
41,1452.5949756404652,0.3615914837282609,2.0240856725131446,148.87310898399167,2965.6093160738765,2300.3452832779985,1663.75096162862,104.10886525501115
42,1508.2826483873018,0.342819809336966,10.339248472846286,209.57333799877088,2973.814957349989,8480.82333560848,7666.162716343995,182.9978727881613
43,825.4425801231731,0.342619079101068,1.247482659461888,176.48244686216063,1881.2943292882296,311.8838885159031,581.7408712610254,176.39781990738115
44,1275.8275715296636,0.3387981597305503,0.0787561886900196,46.93341077111227,3083.471028239259,92.2612844684882,139.2502301727989,38.2948205953912
45,1500.5600578247868,0.2730517118797158,0.1732015734322345,95.68240759062442,2863.2380059964485,144.08604215354157,209.4603540725812,53.49747631858703
46,1058.5763602712989,0.4382126120925612,5.6172327823392925,194.04266176671027,2319.471345201628,5125.859534495991,2061.608556871395,156.50351055168656
47,1004.092059340997,0.404980705643936,0.4907577041071493,37.271065789608805,2520.142201236399,429.07502377350113,465.23561404952966,35.09348021457054
48,1390.8524044747762,0.251209414879957,0.203622138288928,16.174388521960186,2520.445335531068,139.50400755507167,183.0472617194304,7.186665114361761
49,1193.1425861372163,0.4164144764648133,2.8544784018027585,192.8842444652868,2794.8841938263104,3130.104142323847,2544.05323362267,173.99742665693748
50,1170.5536755707287,0.449697774281235,1.949283986161418,400.7351917983484,2624.4725983612434,2180.3844916809644,1050.6745157280209,333.866754646112
51,1683.9308453426831,0.2560488168698722,1.6271288210667592,134.09857632966944,3174.601826982908,1435.955124487224,2288.103500170685,85.44888744477302
52,1149.1225902143856,0.4088852177289447,1.6100781635051975,325.50544878063107,2636.604681382068,1960.8540970946308,1270.1304438268082,228.67175445010483
53,1440.1388333649609,0.2576939269267584,1.851627642934486,196.43308949966013,2854.7160450096776,1047.2559751252847,1989.5132754338467,192.91364001091617
54,1308.72814183894,0.271039251309976,0.1909948532151459,134.1718698000984,2444.360298464468,134.8590594035544,156.22009734065335,61.81433658692934
55,766.6380217054628,0.4709073197805243,11.304826595403384,196.32112096371307,1742.7922628336607,5023.464134539009,2044.357769300373,196.292796169916
56,1103.4057715343845,0.4286009836503683,3.9840502816426486,310.4155162287096,2422.184133604752,2868.997482673472,1991.446664207036,308.4326892651
57,812.6846538943738,0.3606634907246639,1.772265469522516,147.36125616396117,1720.860284171554,577.6435000289364,474.4731030881928,147.32570819499415
58,1742.1227746195489,0.3163963607597873,0.5591290743080286,65.8681974705854,3239.546421699123,619.4287465679702,551.7354100884265,31.716508420227207
59,1059.0473487908343,0.3996685860075018,0.3961978098762832,48.41794233468106,2492.0313051140665,280.66233127803446,320.2901584226078,48.38382395413172
60,991.5865569794144,0.161407796941972,0.1348170093138774,13.473576690004355,1730.3440246620587,15.481289772299476,105.53367058108468,12.576008382479497
61,1074.8646231500657,0.3721585882507864,2.8227699300550406,233.05336761047903,2389.85515536962,1108.178567691414,2092.703377375806,232.94646275039
62,1407.6204069297585,0.4189794313921605,3.9852407575961935,329.45959826193626,3075.525852833509,5156.702848015434,3309.4771223776247,264.6893486191103
63,1647.9777756334097,0.3497977544120065,2.421201839507197,198.94758270865736,3244.1450691119835,2857.248482399669,2375.4656506646797,119.23947379081176
64,1713.4354023345309,0.3156992322552488,8.963089644588571,182.9689389738093,3151.609320067645,8863.27190932233,7313.439041623155,111.85953862033588
65,1490.9712183441477,0.2572315011029547,0.5999818847293121,115.78634667231783,2608.916224333658,464.9950102753381,441.9243242220157,41.47812838533937
66,912.0703742223878,0.2912781935111653,2.366534810060931,124.7337113191435,1665.48896687221,733.4834409469014,532.5139665480057,96.14347356415924
67,906.9079476212164,0.3952832562672025,1.0009704658028704,67.60237690419333,2140.064397869527,401.4770080191204,641.1084650403988,67.56102235649314
68,728.946524604662,0.4813663792135516,3.1910223779205062,279.3289527785105,1678.782817022356,986.5076728782908,780.4794131466366,279.2604697546095
69,1261.6432676267302,0.3813992574015069,0.9032381135811424,362.9133918779314,2795.1102846603926,912.92306741498,828.0276927313566,318.34211005369986
70,1162.0034386796508,0.31374796878913,8.28679635384097,86.74539263248003,2069.533733798413,4703.620995051817,2039.4891925342863,35.55947079574018
71,1221.6535244926265,0.3100247271778462,0.8531482466151222,106.12593122750486,2544.45433416013,532.911240421313,804.3557337636543,87.21007913233058
72,1068.335313626577,0.4462515737378326,0.7448159787484802,258.12032021453655,2472.3629496850995,743.0043164568726,411.2571024313119,199.9723175989044
73,807.7860762285457,0.4205287480209121,2.321526213526377,142.187326356054,1665.9515224287709,749.613237805396,535.075497624255,137.7259173438679
74,973.3623592937304,0.2372257876221755,0.3522310473662184,77.57100609748812,1785.833716251866,64.73430701780646,182.76175606051007,73.78073423442336
75,1458.038962590511,0.2931097272228344,0.3676237775858716,207.75742583943148,2972.100682158853,263.7812490414643,434.6569418379632,194.408386856964
76,1251.0952804728188,0.2896022001390148,0.1163533198903714,194.21070650436428,2818.004557865917,83.31568473245427,175.01873778758284,187.9656177983854
77,1679.1396965334452,0.3443913192017004,10.048873744149308,292.53685259326545,3360.5544411848336,11528.11741116278,10072.710896726016,264.5032368331491
78,1038.0818556766585,0.2794588648448385,5.465831067206785,104.53511883626597,1801.6509974713224,1868.4482405548008,1589.7570230603944,69.98628050090196
79,1105.7140564662711,0.3325883529365883,2.705033062218307,43.65686048509088,1998.8133729243148,1170.1697230112163,1017.039397392212,28.512061118720585
80,1352.6653632622515,0.2207868496347556,3.643124396069239,144.42733726442967,2502.514514712555,1141.9241378458055,2790.967754233544,140.6925465265982
81,1096.0535348698354,0.4024167878877013,5.117154074404535,177.51076450662683,2251.602653096789,2496.911097612223,2343.6864679482305,170.1722134533099
82,850.2687195481312,0.299043458166449,1.1264328989229135,42.71318760985068,1515.7972130781257,330.40422301114705,246.69389116773664,27.589798927006512
83,1424.1035293560478,0.2822359754155136,0.975439502211953,100.6864751596968,2701.748916100615,668.9287901818242,926.3529959485596,67.15428076410096
84,1318.3319264520587,0.3940073008654458,0.255425416730722,131.56623173239953,2954.161188399501,306.55262551920146,255.83120807064728,109.33629600198796
85,933.2829338615164,0.1993585108121048,7.5525626281905245,147.01167992171736,1753.6502937230375,1067.8876837722423,2439.569589727388,146.98376263246675
86,1362.462611542886,0.2357312126078468,1.383751956724809,127.55218283878408,2802.11228218375,684.3082327674433,1660.5508395640554,127.47487421384386
87,1152.041208233774,0.3765961581372512,2.30487732474558,138.9091794970873,2500.637124820448,1604.902791613103,1563.952158207676,134.9442899231848
88,1712.932060264122,0.2766111379878627,8.458898219197744,154.4257408617017,2922.1590393431056,7968.481064818719,5179.109997653488,57.293231164969846
89,1324.0073712353865,0.4140326760193444,2.2044356813517783,295.6671755704626,2835.495676993555,2960.206167845497,1457.5737632319233,190.16885166113136
90,1299.1470285071075,0.4061819651902452,0.4847218393478098,222.3591981752427,2789.1038108721764,619.0327465252825,312.0440705071591,106.5888324065317
91,691.3697093259381,0.3777216172749016,1.2660875020692512,239.094444423815,1550.2681370828288,302.57537888675614,312.9348584712204,239.01989407892103
92,1467.075579880203,0.3821629723121865,7.957843573986422,254.1574886627376,2868.945852250769,9310.714270580018,3739.074738146392,107.3271273356294
