generation,hypervolume
1,0.060837140675436455
2,0.060837140675436455
3,0.06094197553649022
4,0.06108253893722977
5,0.06140436033256454
6,0.06157299010915529
7,0.06165769674006876
8,0.06170801848903455
9,0.06388846396185974
10,0.06910998681982758
11,0.07024606366549004
12,0.07100035632866239
13,0.07454521085320769
14,0.0745976114848631
15,0.0757000955733019
16,0.0773851369944949
17,0.07850706404819421
18,0.07970282533059195
19,0.0837591975103845
20,0.08389221119417911
21,0.08528758906618361
22,0.08534357736497857
23,0.08596318927771412
24,0.08644695348013566
25,0.08646213967430338
26,0.08713394316755209
27,0.0872288182335066
28,0.08794661608374142
29,0.08831069582202195
30,0.08881119682906796
31,0.08934994883109774
32,0.09013716881746744
33,0.09015188314658099
34,0.0902771379317527
35,0.09036571080230402
36,0.09038309636243408
37,0.09040538242010113
38,0.09043688368397565
39,0.09085572718671822
40,0.09107064947657822
41,0.09108694410899759
42,0.0910974182683072
43,0.0911103795061361
44,0.09112302009596508
45,0.09113434995085964
46,0.09114299817590168
47,0.09115209242177577
48,0.09117232362152042
49,0.09117637440380343
50,0.09118133532553147
51,0.09118591817544192
52,0.09118994459898434
53,0.09119606829513636
54,0.09119747746114357
55,0.09120373705825072
56,0.09120761123148446
57,0.09121109820255544
58,0.09122418367548794
59,0.09122963693926267
60,0.09123245818667905
61,0.09123355372687197
62,0.09123476009102902
63,0.09123697871026695
64,0.0912383666458544
65,0.09123962619199998
66,0.09124066200821561
67,0.09124160035137206
68,0.09124467941200945
69,0.09124540769126809
70,0.0912483776867809
71,0.0912720308985156
72,0.09127577832474361
73,0.09141898921369865
74,0.0914567549716507
75,0.09145805607197842
76,0.09146084132246388
77,0.09146301293812405
78,0.09146611981935482
79,0.09146627324484671
80,0.09146772164448562
81,0.0914869155879807
82,0.09148867587352114
83,0.09149203239563101
84,0.09149334290268521
85,0.09149543838524496
86,0.09149875157650351
87,0.09150201289584851
88,0.09150348040898551
89,0.09151761221908944
90,0.09153040696281162
91,0.09155005390414356
92,0.09155118163545123
93,0.09156000680666151
94,0.09158130356549637
95,0.0915841736980281
96,0.09159609175366318
97,0.09159729431046283
98,0.09163930455953787
99,0.09164254704231016
100,0.09164471550403808
