nan 6.00000 8.00000 10.00000 12.00000
0.00000 17.04646 17.02826 17.04605 17.08035
0.10000 17.19281 17.13854 17.13919 17.16583
0.20000 17.50940 17.42935 17.41866 17.44151
0.30000 17.81926 17.72279 17.70771 17.73285
