nan 340.00000 345.00000 350.00000 355.00000 360.00000 365.00000 370.00000 375.00000 380.00000
16.00000 27.65600 27.48845 27.17955 26.64026 21.75427 25.36681 24.83327 23.92683 23.38635
18.00000 28.85227 28.83013 28.71915 28.43618 23.60460 27.75305 27.42510 26.56271 25.78975
20.00000 29.91294 30.01340 30.06252 29.98152 25.17309 29.76532 29.59258 28.70449 27.51602
22.00000 30.85675 31.05606 31.23542 31.31336 26.47938 31.42515 31.31740 30.27656 28.39457
24.00000 31.68897 31.96722 32.25008 32.44546 27.53106 32.74217 32.58168 31.20781 28.29744
26.00000 32.41417 32.75810 33.11454 33.39167 28.32660 33.72453 33.37276 31.43890 27.06655
