1.604046066955680772e+01,1.860103479349395073e-01,1.121845361094115390e+01,3.903523902657671574e+00,1.408593106123292360e+00,3.632521175579663808e-01
1.633452448184320005e+01,2.494114431617409644e-01,1.103232472484457993e+01,3.874147490732168020e+00,1.440994952212258928e+00,6.390532947240039618e-01
1.633279710357490444e+01,1.961008764804392512e-01,1.094448706652300629e+01,3.895161014838835367e+00,1.425216475154731155e+00,3.132759166736498457e-01
1.604046066955680772e+01,1.852059171034527996e-01,1.121788798840064771e+01,3.903523902657671574e+00,1.408593106123292360e+00,3.176358795454203854e-01
1.691984949797392446e+01,2.236016153934424211e-01,1.091037170288094948e+01,3.798493723902505170e+00,1.427152692066773421e+00,7.194479246148650642e-01
1.689506625737163148e+01,2.075581174993018085e-01,1.090718390612184763e+01,3.807981803820575273e+00,1.451817258942310174e+00,6.939031487558366962e-01
1.604046066955680772e+01,1.860103479349395073e-01,1.120602751916219475e+01,3.903523902657671574e+00,1.408593106123292360e+00,3.682579262503615780e-01
1.601205152711201052e+01,1.501624226835048537e-01,1.109413928368450186e+01,3.909575470743977377e+00,1.386730301743982485e+00,1.042278135119353855e-01
1.691162146883329243e+01,2.602150243474123936e-01,1.073268531122420200e+01,3.759407507044555175e+00,1.428368588731565580e+00,7.619878338367154225e-01
1.689506625737163148e+01,2.075581174993018085e-01,1.090718390612184763e+01,3.809393164232479645e+00,1.451840857741859780e+00,6.947631957691876581e-01
1.638324628959593454e+01,2.639950733959606222e-01,1.111843833872394605e+01,3.808703492319524653e+00,1.425973810682017229e+00,6.405261897981459063e-01
1.604046066955680772e+01,1.852059171034527996e-01,1.121788798840064771e+01,3.903523902657671574e+00,1.406714811288081624e+00,3.184626263638715149e-01
1.601205152711201052e+01,1.501624226835048537e-01,1.109413928368450186e+01,3.914790739560323196e+00,1.386730301743982485e+00,1.042278135119353855e-01
1.606599608789706224e+01,2.430741343662673470e-01,1.129445302242625715e+01,3.897611903287705459e+00,1.443633107287907613e+00,5.543265148006815135e-01
