nan 3.00000 3.25000 3.50000 3.75000 4.00000
18.00000 1.11242 1.14473 1.17434 1.20038 1.22243
20.00000 1.12464 1.15324 1.17920 1.20175 1.22066
22.00000 1.13447 1.15978 1.18267 1.20236 1.21842
24.00000 1.14240 1.16496 1.18509 1.20207 1.21602
26.00000 1.14896 1.16907 1.18681 1.20168 1.21354
