phi_cd  value
20.00000 174.05137
25.00000 174.51767
30.00000 175.24308
35.00000 176.21503
40.00000 177.42057
45.00000 178.84767
50.00000 180.48533
55.00000 182.32379
60.00000 184.35477
65.00000 186.57157
70.00000 188.96873
75.00000 191.54292
80.00000 194.29041
