phi_cd  value
20.00000 1074.32115
25.00000 1079.53460
30.00000 1086.62190
35.00000 1095.51902
40.00000 1106.16240
45.00000 1118.49723
50.00000 1132.47710
55.00000 1148.06629
60.00000 1165.23984
65.00000 1183.98609
70.00000 1204.29857
75.00000 1226.18854
80.00000 1249.66979
