phi_cd  value
20.00000 3034.71635
25.00000 2994.35665
30.00000 2954.33621
35.00000 2915.52316
40.00000 2878.27853
45.00000 2842.90099
50.00000 2809.44042
55.00000 2777.97019
60.00000 2748.40215
65.00000 2720.67670
70.00000 2694.79411
75.00000 2670.58813
80.00000 2648.18096
