opr,T4,split,cr,far,p_ratio,IC_ratio,phi_sc,m_wiebe,phi_cd,eta_th,specific_nox
19.318136029893356,1041.163832055394,0.33925130971984463,10.187250320139933,3.72379649703177,1.6624155812697472,0.9483028329620751,359.42033852922685,1.0818872088574794,64.3631368576225,0.5540329903565742,0.8729801948057605
10.036774121827044,1235.1689371530601,0.4994201194371422,14.970697433547365,2.848286454171924,1.0002994723280614,0.9982356001752852,368.93894382046614,2.4120914074880697,69.99284762620654,0.42351802015750456,0.058927648132517885
19.318136029893356,1040.9860309474545,0.3382682212201595,10.187250320139933,3.72379649703177,1.6624155812697472,0.9483028329620751,360.0098735585474,1.050374501147666,64.43838493420375,0.5539867648258545,0.7606319611127692
19.7450415337116,1107.2573709101205,0.33958854844284586,10.206327090928731,3.613796838705002,1.7807242544651647,0.9971128294803241,360.0018787745015,0.9643531394725985,69.99955361274482,0.5520155300558652,0.6517273465975366
19.299218428707622,1052.0016435068778,0.3297003961610766,10.003928409383827,3.6426081015769505,1.6346994938226371,0.9893679170000558,360.00168420929833,1.0829683008113182,64.97903306008314,0.5520728126738708,0.7200141068214095
20.002737797251836,1126.7578925553653,0.39459269251683216,10.210582655617612,3.634066835122441,1.7683441991364086,0.9997894908996322,360.0007540042866,1.158981890121952,69.86973014536657,0.5477099551472139,0.5535057014619857
19.87373011507232,1049.736623134136,0.3827487770365566,10.20741902918507,3.565570144247907,1.7290471547917818,0.9971084223108692,360.00093293439073,1.2022271222706924,69.71415274719216,0.5484331937887267,0.590219322757126
19.87373011507232,1049.8260385998785,0.37936361805927316,10.209878843078764,3.6473851694453536,1.7319085952485938,0.9971084223108692,360.00093293439073,1.1642191776602466,69.7030711628749,0.5499198455648545,0.6154815482129582
11.063335577733632,1211.0887851744858,0.4894614820359967,14.58076053328588,3.278572650809879,1.7714194514092523,0.9981688581952984,360.00892985615206,2.184365764256065,69.99409748728493,0.5006621480865958,0.16648507696579315
14.353786516048563,1114.958401572313,0.49858784645462395,12.948166687691954,3.280772311916627,1.7590338615783059,0.9929459376956973,360.01036385741503,1.9862772295823454,69.99070015849047,0.5181804960596105,0.241396039480913
10.245293923449681,1176.2085789865735,0.49866529294244305,14.8487946345655,2.8794889249409232,1.1897021727736894,0.9895888658431023,365.7657072708215,2.4167468483749337,69.94953998112614,0.45058133015610147,0.07971552204821852
17.251397820012702,1206.0878632346532,0.4915852517400162,10.196656370877694,3.1471472783490744,1.7791128755773018,0.998525601114798,360.00105576549066,2.42332884385491,69.99606859078528,0.5230166989022687,0.27169455625849054
19.927445573465224,1164.6370716875822,0.4993219911584726,10.325638825900475,3.141350362672987,1.7767737192567876,0.9972185278877937,368.93882085037205,2.21531539264096,69.99642105361856,0.5202451458776128,0.2583506314413267
17.251397820012702,1206.0878632346532,0.49360502324298267,10.196656370877694,3.1471472783490744,1.7791128755773018,0.9985119276347711,360.0010473939517,1.9679437462714162,69.9953161712447,0.5248164406505648,0.28245307280033716
12.373337455344622,1206.9675686303158,0.49839075654510046,14.659384915697428,2.8363199659743614,1.330715370769704,0.9906305870953449,366.6025124382342,2.440145594572275,69.99552403878693,0.47503094044723104,0.10583833118504034
17.38882825838536,1211.4710112864102,0.49991635312864197,11.185622508014951,2.859276497590741,1.6076716781148475,0.9857679639267756,368.91965438180375,2.2543747653374364,68.67030058420328,0.5090245160992163,0.20774898081663815
10.045550946108722,1277.3453144908003,0.4987150300842346,14.917931323595376,2.7671135140997545,1.1797952991452965,0.9895888658431023,368.1036285556977,2.4409416505223427,69.97481680986127,0.4417901944618636,0.07021255717540995
12.355120212920655,1229.5798672812844,0.49973747552558717,14.259044141729268,3.387681145531413,1.774653219289989,0.9988212482158224,362.5930324196703,2.4052667824792655,69.99239265046246,0.5043900351956295,0.1764957575907894
19.81677008754034,1166.8757670952211,0.37771549238236074,10.205235343422538,3.34745373021086,1.7791128755773018,0.9972282221213866,360.0010473939517,1.980862961960801,69.97190766714554,0.5393893467662183,0.4228252007406548
