nan 0.90000 1.20000 1.50000
0.00000 1.10441 1.16072 0.00000
0.25000 1.05900 1.11899 0.00000
0.50000 1.01068 1.07190 0.00000
0.75000 0.95925 1.02006 1.08352
1.00000 0.90515 0.96377 1.03192
