generation,hypervolume
1,0.1192464177349459
2,0.1353325044046326
3,0.1415319277267299
4,0.1449260184514308
5,0.1473815521184611
6,0.1495049379505865
7,0.151477511206164
8,0.1549664900841075
9,0.1573304896966807
10,0.1592816084462585
11,0.1601436200116748
12,0.1614588923525752
13,0.1628810010222726
14,0.1637740981323188
15,0.1644831080040918
16,0.1652282094021802
17,0.1662280790557636
18,0.1666063181605953
19,0.1673581297996784
20,0.1680343520808948
21,0.1688298027351364
22,0.1692382060177727
23,0.1696048804108245
24,0.1698996943009583
25,0.1702134642364128
26,0.170364757779223
27,0.1705810536835466
28,0.1708057298593178
29,0.1710152463972361
30,0.1711644517338858
31,0.1713305087160184
32,0.1715335270301219
33,0.171620901699312
34,0.1716756193617611
35,0.1717070445633155
36,0.1717850244898592
37,0.1719104307598946
38,0.1719714928737177
39,0.1719817917837134
40,0.1721352153116356
41,0.1721352153116356
42,0.1723123065283113
43,0.1724880759777979
44,0.1724941137371631
45,0.1725265911305559
46,0.1729494013476875
47,0.1730063716366475
48,0.1730900828786475
49,0.1730978079487868
50,0.1731282126242966
51,0.1736623030328357
52,0.1736223502107411
53,0.1737319612199756
54,0.1739475698551049
55,0.1740309221251892
56,0.1741588255572445
57,0.1742404160324535
58,0.1747405306770725
59,0.1747830634401034
60,0.1748055360610055
61,0.1748813991225908
62,0.1750124591340275
63,0.1750190090662162
64,0.1750580331804339
65,0.1751083341448333
66,0.1751753906021063
67,0.175258953018169
68,0.1753296353466732
69,0.1754292727741518
70,0.1754677374663675
71,0.1754714998256745
72,0.1755269941431947
73,0.1756343333119065
74,0.1756663024887507
75,0.1756887807443204
76,0.1756645911216273
77,0.1757166436401206
78,0.1757143280999962
79,0.1757100613512639
80,0.1756756448727758
81,0.17567564487277587
82,0.1756509953836595
83,0.17565714490144269
84,0.1756677160160281
85,0.17571112984449988
86,0.17581515242281825
87,0.17587284774676568
88,0.17587139109376188
89,0.17586936668806769
90,0.17585377819584944
91,0.1758299268616745
92,0.17587097354982165
93,0.17586897573399696
94,0.17587963781610885
95,0.17588316006807236
96,0.17588507341071768
97,0.17584949886316215
98,0.17582413068140224
99,0.17585171327882465
100,0.17589559760346962
101,0.1759752436201707
102,0.17598858180121923
103,0.17601568670385037
104,0.1760597560469352
105,0.17603470740090582
106,0.17606337786418508
107,0.176081354212204
108,0.1760477593473938
109,0.17603256532439446
110,0.1760873793711964
111,0.17610296162570965
112,0.17608073521142287
113,0.17606032891438234
114,0.17602868242502284
115,0.1760819752720375
116,0.17612036770033496
117,0.17613406619473704
118,0.17611544500171808
119,0.17609928100383834
120,0.17614411884691225
