opr,T4,split,cr,far,pi_pe,ic_ratio,eta_th,specific_nox
10.036192016945005,1598.644224838845,0.4994538466157945,6.83932967397843,2.012531550969208,0.9481680230327854,0.9996069305155829,0.40412058854447747,0.1435622461081547
17.42184801839835,1027.5650390561466,0.25592682779118336,10.58746008613402,3.76150657514795,1.5963917090118407,0.8436771337101191,0.5578828764063432,1.069944270659502
17.551699346694825,1067.9498863866147,0.2930458054772894,10.429056161975101,3.6615854366854266,1.594456395891512,0.997638990549364,0.5516115883035815,0.9503392785285757
10.036192016945005,1595.6665380609388,0.4994537725699265,7.2693849458473,2.0125485464323067,1.1195598812450323,0.9997913642350315,0.42539473379494624,0.16087089719580522
17.610020750178307,1100.184676173172,0.30199874661941134,10.495706258782665,3.702350079280161,1.5969382541331911,0.997964791743995,0.5501219685888089,0.9192141551110117
17.42184801839835,1027.5650390561466,0.2592531593899809,10.58746008613402,3.76150657514795,1.5963917090118407,0.9996629244024022,0.5564434956176159,1.033767697499238
10.007901089509325,1599.4483656372377,0.49909256379924083,8.825333687845607,2.13595438375849,1.3383658645410168,0.9998881601153378,0.4456807420687219,0.19577870276861092
12.236700279294205,1214.505772607923,0.49970198329601995,11.028972691687668,2.559089774943136,1.5829920102363977,0.9205258194548147,0.4993970825475199,0.3839499292522964
12.291746590308994,1214.505772607923,0.49970198329601995,11.060764728323088,2.7306831351172667,1.59890082221607,0.9215280216709799,0.5017094079357046,0.40146003308344025
18.40501859071027,1172.0277710711375,0.37306918485798146,10.494777753748659,3.1135550118736943,1.5991812054681753,0.9963655955204878,0.5385865771371106,0.7169756663115441
10.034561590573212,1595.89265188126,0.49928682892094295,7.547338146594371,2.1360743012971373,1.0790353686971788,0.999476896967205,0.42125605579712644,0.15912953123421483
10.035377565364161,1598.4717177480004,0.4993184480838911,7.83787612108904,2.2030335648092687,1.426526466085708,0.9948193600860613,0.4530035451607769,0.21012943472482623
10.121727457013579,1584.1539425253923,0.49958417708036285,10.31764087177939,2.3272309749538307,1.5892528411167435,0.9997236410472937,0.4653341655624351,0.24129814251967013
14.929852829425624,1234.2895916332193,0.4234873261138191,11.703071760108566,2.5979693538360245,1.5564047853331413,0.990183715738802,0.5143820416466613,0.47823535713273924
17.637958899009632,1132.2751184524927,0.348209271844505,10.60018481653944,3.418000694532834,1.5890471803168171,0.9999096128483045,0.5426054704830613,0.7937206189462128
10.035377565364161,1573.5096301790643,0.4972608723728168,8.004814664994548,2.0245995501303713,1.1452335203825796,0.9991237080046421,0.4291807000525837,0.1689916496498966
17.96186882028235,1185.318352923612,0.3744432415867036,10.466221441074175,3.131521116935995,1.5816454840001661,0.9973232211604343,0.5365768196641024,0.69633554783608
12.050191334208689,1214.505772607923,0.4995609029692798,11.173346296799032,2.515899774213103,1.5789946889756623,0.9262251309053892,0.49771860408173807,0.37341227741442284
18.4494965829011,1156.1481364486722,0.3322680569191321,10.512331339457468,3.1135550118736943,1.5969098256159244,0.9999506983632201,0.5416578645153619,0.7727983163789296
11.712085777371547,1251.83365450439,0.49953430140848576,10.307260385135804,2.5597673071239835,1.597705154782962,0.9249046698724158,0.4953604016234185,0.36400952593337427
17.42184801839835,1027.5650390561466,0.28115755854023083,10.58746008613402,3.76150657514795,1.5963917090118407,0.9996629244024022,0.5552197949911544,1.0090740912427192
10.238705294121957,1403.8722289020275,0.4999483537406922,11.107857182209484,2.382715338858245,1.5390608059398996,0.9887694117481681,0.47163849374702516,0.2609967142518829
11.61591570703899,1342.2366763444634,0.45869940890178124,11.851755413341955,2.403852707920799,1.5977474622976562,0.9986922974788542,0.4903910608718516,0.3373977135013667
17.610020750178307,1114.2198239549027,0.30199874661941134,10.495706258782665,3.702350079280161,1.5969382541331911,0.997964791743995,0.5494515006351419,0.9081576454077851
10.041870942724659,1584.1136996500297,0.49481311251458354,10.367887166625906,2.150613337902169,1.5053560277534725,0.996649612305159,0.45892078758188026,0.2262889159291892
18.39693014813069,1171.637882012155,0.3322680569191321,10.512331339457468,3.1135550118736943,1.591818550199313,0.9999506983632201,0.540842470554555,0.7606730361797582
17.588502218409868,1219.41641646494,0.3897285482031453,11.073695318024297,2.7300969254504412,1.5986347711595785,0.9996719899925747,0.5290804166077013,0.5997969477778549
16.728614162304982,1208.8306903551832,0.39706405426862956,11.130610548566068,2.5887267599623573,1.5957706357328552,0.997614178801861,0.5252809065873011,0.562866993208203
17.610020750178307,1166.728128675057,0.37473041068517005,10.495706258782665,3.418000694532834,1.5991616729129385,0.9978818133917845,0.5395895305709788,0.7447221256936718
14.929852829425624,1193.6805461525728,0.4234873261138191,11.736030520629523,2.587646825617309,1.5564047853331413,0.990183715738802,0.5164752159481729,0.4916849695058363
13.83407954967013,1236.7553405610925,0.48166032775795825,10.555284535210873,2.4594000924453465,1.5957098590489054,0.888090457594756,0.507745652091231,0.43874249094565987
10.019676440440595,1595.6663465072186,0.49999093367277936,7.040050487312395,2.0241310694123364,1.007473041699026,0.9999728192842767,0.4122352197933101,0.1450005601741173
17.372619431639297,1171.9885820562636,0.3731408561637205,11.03423659952197,2.9412483117085144,1.5830568701530388,0.9960210519137251,0.5335381556756028,0.6586103323609711
10.025577879725436,1596.339235815494,0.49051737078973234,7.803417477279453,2.2993436458119616,1.3533241996310919,0.9971296603775002,0.4483856605303637,0.20770633461813004
17.644576361801086,1105.4088225538983,0.30213515860189777,10.503344752704756,3.418000694532834,1.5891038400456277,0.999968806846491,0.546739529090567,0.869386347149053
11.718210360370664,1253.2536636751222,0.4997120540518015,11.177274439861291,2.4902412514236603,1.5929827687123126,0.9381218035454824,0.4940580342372682,0.3518768839416916
10.042572271170862,1591.7744212261136,0.4984787420789733,7.446803051928176,2.0494985287703367,1.283706878746131,0.9872298274082816,0.44173980508588134,0.18705922170045583
14.866921670898439,1233.7506321347455,0.4271304460196542,11.530252108192778,2.7137723849403197,1.5905719620097514,0.958643981383319,0.5169866484003817,0.5019491012848772
10.045793719497823,1595.7737864222736,0.4999492941623292,7.035481725547711,2.010294686705216,1.1659626578349498,0.9515424336045817,0.43105694838231856,0.1734315785363576
10.212408505972638,1407.508512694334,0.49902460952535715,10.898617936164042,2.285398233779926,1.51568260212112,0.9887133827345455,0.4693654509546254,0.253706864453782
10.360999844752303,1593.361911107008,0.49958417708036285,10.31573172269512,2.327224884389107,1.5972387858390942,0.986885258959732,0.46741697299065765,0.24957663138931344
11.718210360370664,1255.2908866815249,0.4996075429246849,11.177274439861291,2.4902412514236603,1.5597336982664518,0.937992191070338,0.49206487282212324,0.34569900819872584
17.539196395466337,1185.340901246662,0.3860445874886989,11.055418976394972,2.9518959181002375,1.5814818678664537,0.9958384961779659,0.5326618801545692,0.6410868856800748
17.551699346694825,1068.6661307260074,0.2930458054772894,10.428184726273836,3.7783915247902273,1.594456395891512,0.9998239932731338,0.5527731011754917,0.9673008148331207
15.989844440578244,1200.7745026202585,0.3959068771904447,11.823228388983761,2.5887333496053033,1.5957360407765322,0.9976683886118743,0.523265319428566,0.5438151111246736
18.42129986284766,1171.637882012155,0.2896007675969031,10.512331339457468,3.1224892276841563,1.5920372345614646,0.9999506983632201,0.5429628292259887,0.8120295103994877
10.025577879725436,1581.6795037945044,0.4802383175438989,7.803417477279453,2.172046576254034,1.4253888149693124,0.9998375914779773,0.45467579164381794,0.21941431726778027
17.610020750178307,1114.2198239549027,0.30199874661941134,10.495706258782665,3.5789836433652233,1.5969382541331911,0.9979969963257398,0.548210693700674,0.8893131361037461
14.490921565324923,1254.920624656377,0.4543437414933412,11.886990598817215,2.7206275317582547,1.5959938399283617,0.9379719783776,0.5125660004104774,0.46756879503637533
17.141529222325975,1216.7190245046052,0.3844737366428614,11.056963235428377,2.88308256138395,1.5972201077444246,0.998222057690281,0.530050199996662,0.6139334066814356
17.377645694088063,1171.0887724688232,0.373242766003529,10.466035819876,3.380169941838511,1.5991812054681753,0.9960183135891444,0.5385980915871941,0.7341655762165736
17.55314472156901,1071.974742167481,0.26844112837025336,10.47657854027202,3.778517572452795,1.5877710344838105,0.9910237941673836,0.5539017718466588,0.9911976841275424
17.257376887912667,1029.0910160531744,0.23140146969819025,10.823146956641697,3.7654100222926448,1.5863860451488183,0.9986061322224191,0.5570641823212708,1.051024651573678
