generation,hypervolume
1,0.705924113736976
2,0.7208339183615874
3,0.7323251561932682
4,0.735553242132972
5,0.8302845146796112
6,0.8302845146796112
7,0.8338445376047288
8,0.8363990868259805
9,0.9168625013205254
10,0.9198807814976444
11,0.9198807814976444
12,0.9243469611226196
13,0.9256012647707312
14,0.926173361049384
15,0.9301654560212176
16,0.9320105515025858
17,0.9340392164603036
18,0.934743943671202
19,0.934743943671202
20,0.9404860810437196
21,0.9416120046200364
22,0.9432209093012364
23,0.9490106614705132
24,0.9490106614705132
25,0.9493722291515342
26,0.9496454294212495
27,0.9511681844968815
28,0.9547831241251508
29,0.9568985330878136
30,0.9575046466574677
31,0.9577955810725745
32,0.9624760698235459
33,0.9632817408145407
34,0.9633617086084045
35,0.9656716308281894
36,0.9683258522441007
37,0.9696642029080074
38,0.9697290190114569
39,0.96967302186362
40,0.9698955034205543
41,0.9718605389785988
42,0.972152571744488
43,0.9760716971818679
44,0.9761432250757838
45,0.9771593806031176
46,0.9772931514853195
47,0.9791541494647655
48,0.9791620917099415
49,0.979388526676845
50,0.9793774099005632
51,0.9793955519670186
52,0.9806629824082393
53,0.9806430757945652
54,0.9808315482208207
55,0.9809504207999524
56,0.9813832479495589
57,0.9813660446597154
58,0.9817889453194617
59,0.9841423207406541
60,0.984080541115659
61,0.9841269509673551
62,0.9846917696658846
63,0.9846808838719903
64,0.9848184156189105
65,0.9848521211403143
66,0.9856823929969578
67,0.9855733109349156
68,0.9855240851013702
69,0.9864890440869778
70,0.9865462504943253
71,0.9865017939669605
72,0.9866954117762182
73,0.9872139844945551
74,0.9872251424169478
75,0.9879010331896854
76,0.9880086097671339
77,0.9882127751124563
78,0.9882451373541135
79,0.9883425690897366
80,0.9884053940332918
81,0.9891116790930082
82,0.9891838981593897
83,0.9891146347050565
84,0.9893476197714592
85,0.9893816840707395
86,0.9894368347902729
87,0.9894376910771949
88,0.9893910477314497
89,0.9894099948571476
90,0.9893481042090825
91,0.9893337791095789
92,0.9894126804286304
93,0.9894438951504609
