2.156846398073601989e+01,1.082614465891474538e+03,2.496078598043713348e-01,8.859770469322263864e+00,3.429622326194235793e+00,1.476701404310803101e+00,9.084918220478614970e-01
1.003132830650097951e+01,1.587565563215875500e+03,4.985884746202881579e-01,8.273529895797354428e+00,2.031915579580263476e+00,9.939681080019666659e-01,9.999122100919384248e-01
1.962512743762893308e+01,1.199931381861250202e+03,3.771462509217409220e-01,1.025640357579279183e+01,2.631538186888318531e+00,1.498460917944057114e+00,9.958270853165013259e-01
1.185766074327865383e+01,1.360210840424803564e+03,4.923304374379101067e-01,9.533579272268619675e+00,2.345707678385039241e+00,1.379505352811617680e+00,9.118290607714738538e-01
1.002202972810557213e+01,1.587527366779700515e+03,4.999372632334319611e-01,8.240285590556322148e+00,2.150020714963989832e+00,1.165932836519168569e+00,9.999122100919384248e-01
1.407187609623567681e+01,1.333554584990015883e+03,4.791267505692438089e-01,9.538391281134344979e+00,2.540140156954294959e+00,1.441331344307274609e+00,9.087027734151916780e-01
1.009704679457795784e+01,1.446035203416263357e+03,4.931811950243373821e-01,8.851848342211214415e+00,2.333337509820975875e+00,1.499554278114402228e+00,9.958208009758566792e-01
1.803264363658957237e+01,1.200393336339404186e+03,3.740670864665811002e-01,9.656644612735782118e+00,3.160262819184509464e+00,1.487345106469596612e+00,9.954660416753785546e-01
2.175153014015286246e+01,1.171210020688181658e+03,2.766743598247951019e-01,8.760470049965320527e+00,3.393100928394176652e+00,1.497201527972025437e+00,9.081741958642620682e-01
1.016251474056521786e+01,1.590630017190270109e+03,4.973038189811792575e-01,9.085064977634608852e+00,2.197230296712251452e+00,1.079845010311493159e+00,9.984010914344455534e-01
1.937841712839882291e+01,1.159192750766055497e+03,3.740670864665811002e-01,9.664177684752436548e+00,3.171771915515369855e+00,1.487664917649992757e+00,9.988053217916612603e-01
1.005730333664059017e+01,1.498222014378668291e+03,4.984992915456095686e-01,9.649056670704103666e+00,2.248256800388882759e+00,1.499656997967852234e+00,9.977015696254580845e-01
1.002691586942667534e+01,1.467414092659179460e+03,4.992674923821088795e-01,9.141252900036795026e+00,2.016986124652405454e+00,1.220550061389349183e+00,9.999281066361036530e-01
1.013140670680633981e+01,1.494402985574551167e+03,4.976941853064229537e-01,8.283135090889453878e+00,2.015731849579433188e+00,1.170495914185852415e+00,9.913595064113100985e-01
1.536744081582985011e+01,1.239711223450537545e+03,3.687746117163242521e-01,9.656803466257739998e+00,2.555065846802388574e+00,1.498838597445938170e+00,9.964066017746188164e-01
2.112419433339444552e+01,1.192345077649312088e+03,3.705469499156078816e-01,8.829685173046987856e+00,3.377479015225108405e+00,1.488825394297785376e+00,9.834145890423238168e-01
2.133018491605767153e+01,1.191629073786746403e+03,3.700108552199689038e-01,8.858507738805535325e+00,3.386937627118093541e+00,1.498888774192027817e+00,8.868248909601421648e-01
1.407187609623567681e+01,1.201877363764984239e+03,4.791267505692438089e-01,9.545434224134538681e+00,2.540140156954294959e+00,1.485668052931896188e+00,9.087027734151916780e-01
1.027207629389695676e+01,1.352577755611772091e+03,4.967212262842342629e-01,9.476948830566211512e+00,2.572815865036956140e+00,1.476178374094800683e+00,9.942419975594873893e-01
1.012666778057520389e+01,1.590630017190270109e+03,4.973038189811792575e-01,9.092845150222686357e+00,2.235345087536531494e+00,1.042112695954835688e+00,9.983571278560664508e-01
1.002202972810557213e+01,1.586725522597474765e+03,4.980249135506988889e-01,8.273529895797354428e+00,2.149571728112102953e+00,1.345419700936115071e+00,9.999122100919384248e-01
1.276491896606043319e+01,1.360210840424803564e+03,4.923304374379101067e-01,1.128935310416000881e+01,2.414669660418267583e+00,1.376774351002474583e+00,8.933879472471469851e-01
1.309912782692164512e+01,1.318374356510708367e+03,4.907856006082928491e-01,8.846569730188548419e+00,2.317068500317733815e+00,1.388906863250825019e+00,9.087014494306419055e-01
1.936907644145842866e+01,1.232062883784678661e+03,3.687746117163242521e-01,9.656803466257739998e+00,2.421407973280999659e+00,1.498838597445938170e+00,9.949273889372693969e-01
1.541857024905047879e+01,1.244822304671655957e+03,4.305474733492993256e-01,9.788758383153439269e+00,2.550310831036791903e+00,1.457540440362184997e+00,9.339658850971966908e-01
1.703999232642715000e+01,1.195857617815440108e+03,4.308354141582479424e-01,8.838368356828169681e+00,2.553513833851168258e+00,1.474081418453121239e+00,9.305174313235442529e-01
2.102782408495603050e+01,1.186157023491039809e+03,3.008933528231061416e-01,8.864768706708757051e+00,3.375006186208458825e+00,1.445851591898275723e+00,9.666482875020572241e-01
1.937841712839882291e+01,1.159192750766055497e+03,3.740670864665811002e-01,9.387645241278885777e+00,3.171392615229450929e+00,1.487664917649992757e+00,9.085952473602398882e-01
