opr,T4,split,cr,far,p_ratio,eta_th,specific_nox,thrust,bpr,bore,bpr piston,m0,T_in_piston,T_out_piston,T35,P max (bar),T max,T_max_twozone,piston_shaft_power,piston_indicated_power,piston_heatloss,m_nox_pe,m_nox_burner,core_power,core_power_per_litre,cooling_ratio,piston_fuelflow,burner_fuelflow,piston_fuelsplit,error,constraint_violation,is_feasible
18.34044009405148,1432.194696065295,5.718740867244332e-05,7.325658298950238,2.440267672451339,0.9646370163381583,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
16.911214540860954,1238.060484538402,0.2694083670016785,8.611139658436244,4.055658501190278,1.0431165748120623,0.5140443429912511,0.8318000454387026,27141.000000000764,17.71285028691788,0.1538460734547043,1.4245943755722454,248.660000000516,551.8724196984172,1234.5103898299349,884.2003604884299,128.46119549350206,2269.055004569862,2763.463521287788,3469935.827697534,3786265.545504482,1273304.9092775737,0.0215741171267273,0.001001767906525,9033967.499721617,131.61886806071473,0.0099029560205178,0.2274429568794118,0.1384939273008145,0.6215360263257712,False,0.0,True
10.547751863958524,1402.2805061070412,0.2086524011835634,10.145588112903267,2.421160815785701,1.0386710423594152,0.455092757511848,0.4150518750165897,27141.00000000004,18.29940822359297,0.2123466583852639,0.7880784212100304,248.660000000516,500.6897319002731,913.899143024159,762.0296434218819,81.7125413204217,1747.8511850309658,2650.0024367669,2771970.0966899954,3191030.409357385,1030523.2044147616,0.0104087433617887,0.0008561795780364,9182123.320272142,50.87515026731415,0.0481876766216813,0.1785185013509733,0.2352758245836003,0.4314184370406265,False,0.0123466583852638,False
29.36523151438795,1188.0545068955455,0.346161307834657,13.640280675256422,4.683819990511542,0.9595309479588444,0.5525843765044532,1.0785526044402665,27141.000000000007,17.989285083593952,0.1358081476619427,1.1409103575237018,248.660000000516,725.1318145122232,1361.6390834571448,1069.9452086795511,323.3128240312007,2613.02381634324,2974.133511451402,4716336.650987717,5215691.559739514,2101167.4904263644,0.0282274865666882,0.001045509670425,8873344.127124386,187.9354570068628,0.0,0.2931455110878233,0.0469909794833334,0.8618466974701061,False,284.9519074883455,False
13.396608391291378,1526.885502057648,0.049173416916525,8.632183875055574,4.873668590451506,1.273215699481112,0.5073990020129262,1.0405460277240444,27141.000000013,23.40359384151264,0.1625721833856226,1.1818094991815706,248.660000000516,567.0524722286184,1388.2912449873152,1061.5298308587528,108.40999887438632,2490.8643476380294,2817.145703290372,3303513.355117252,3615583.843213684,1380915.215500486,0.0251363492501589,0.0031051104883128,9235911.06588388,114.03545610153913,0.0889379922296885,0.2329032385699616,0.1390136004574564,0.6262239676456053,False,138.29124498731517,False
16.31031262012126,1411.9005566089502,0.4173128359486864,4.20117105078611,4.250432944834902,1.5922027622345465,0.5105276047279496,1.1189290001406609,27141.00000000004,21.41828988816307,0.1840013452912033,0.6335528537468899,248.660000000516,528.8705412501014,1435.909832233905,1195.3952533883546,61.30892831386649,2209.8991821790714,2660.332532540315,2700635.098497292,3022423.6576896594,1799288.5180071504,0.0268472294877344,0.0035216225050833,8985810.243438149,76.52320043699444,0.0592038677639057,0.2953164560172624,0.0726975852913341,0.8024597511746191,False,185.90983223390504,False
15.608879841288104,1473.567597070893,0.051613003288821,8.926828787934957,4.725786509279287,1.1055299038615756,0.5154464870042209,1.020232098687512,27141.00000000008,22.92257283695338,0.1539600383178724,1.1271354279156711,248.660000000516,595.5737630495049,1364.090097143562,1050.9877123437502,129.49003472622465,2486.141970927197,2839.33539204966,3503178.090054628,3822363.466015422,1416581.0018590232,0.0250103568868166,0.0026797625036611,9183142.70354556,133.49536237290658,0.0755336903543918,0.2362986399119804,0.1293678094470925,0.6462136198881692,False,114.09009714356192,False
12.600571442365553,1011.6201747221784,0.3394177664699455,6.32790927600065,2.796639978116678,1.2441012114962369,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
21.482352109840264,1088.037144943486,0.2946527684516421,11.697341960230244,2.3070032864834777,1.189839191473698,0.5236909115606071,0.7979952888648237,27140.99999999997,16.42253242468252,0.2145587445404271,0.1318599352668245,248.660000000516,598.5604772988956,977.6138828829584,942.7134761858808,188.48639630262585,1833.321493836657,2761.677279290512,4183554.043422424,4921502.514528355,2172183.39975502,0.0210512550854166,0.0006071350496635,8759264.467895277,47.046558316036126,0.0,0.2976695388242784,0.0610496415687202,0.8298121625338332,False,38.50095504716625,False
18.28358539053805,1029.9720753676522,0.2679482029577558,11.301741097417676,3.5446673361749257,1.5612163291935697,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False
