station,m [kg/s],T [K],p [kPa],FAR [],s [kJ /(kg * K) ]
2,313.0573663624511,249.956085901261,39.104849003764606,0.0,-0.004282115414269356
13,297.5054051651691,272.2456631381423,51.9312394769994,0.0,0.0
14,278.3648715617872,272.2456631381423,51.9312394769994,0.0,0.0
15,19.14053360338193,387.22456631381425,48.97115882681043,0.0,0.371626670509253
21,15.55196119728196,264.8973251333295,47.41322164250045,0.0,-0.0013343358119163895
25,15.55196119728196,283.3692909533865,58.61852864461055,0.0,0.005433457446817556
3,15.55196119728196,516.7021019986569,391.04849003764605,0.0,0.06966467417453533
31,15.55196119728196,516.7021019986569,379.31703533651665,0.0,0.07841029237531075
32,5.514386796761799,516.7021019986569,379.31703533651665,0.05,0.1873083464932297
34,5.7901061365998885,1218.346442809913,568.975553004775,0.018291075950833652,0.9996298190851303
35,15.827680537120049,857.509123115449,568.975553004775,0.018291075950833652,0.5852917145411884
4,15.827680537120049,857.509123115449,568.975553004775,0.018291075950833652,0.5852917145411884
41,15.827680537120049,857.509123115449,568.975553004775,0.018291075950833652,0.5852917145411884
43,15.827680537120049,857.509123115449,34.500787222224496,0.018291075950833652,1.389993623061524
5,15.827680537120049,435.2829646134621,34.500787222224496,0.018291075950833652,0.65506632299782
6,15.827680537120049,435.2829646134621,34.15577935000225,0.018291075950833652,0.657951782110169
