,p_in,T_in,cr,bore,far_goal,PI,v_mean,T_fuel,T_out,eff,air_flow,p_max,T_max,power,heat_loss,p_tdc,nox,far_avg
25,1535794.820098125,289.01258804241854,5.19692496294069,0.1650653567093739,0.0544243506094437,1.319424425859925,9.770383655185316,371.29994321932384,1379.5093409186702,0.3469351134972223,0.8628607096276106,49114112.92982192,2443.7840409174923,701088.3151041197,152976.03347077346,35530407.66209676,1654.6016572921542,0.0544243506094437
26,820812.4407061845,465.5515427189637,8.478615286878217,0.1347751745347461,0.0663855347232819,1.2962504896886846,12.322595800625386,359.4831088969946,1523.9671937691362,0.3853642619358085,0.2548707292508957,35796844.8178453,2929.409722259635,280579.1387455837,86507.62335069764,28689439.74945562,3117.803655072398,0.0663855347232818
27,560882.3100151862,255.2246132693636,13.64275362187245,0.1324856676757526,0.0291201354101147,1.2730187785398868,8.056447333127128,362.8556860180216,730.2137874734672,0.5097343953876086,0.1994773377839584,41617893.45628791,1712.5244406443726,127415.25131892986,20165.96777945741,36352722.82697874,830.1441546112204,0.0291201354101147
28,1080754.2753451192,459.1846099736584,4.998998757025431,0.1752643520008157,0.0625345556508269,1.2415422352564909,8.941875073428418,221.33042371781093,1600.909893831389,0.3152701659485542,0.4076651092444471,25155850.57742214,2768.1657727765646,345857.34941400785,123757.90783868908,18863240.70566681,2364.748107272593,0.0625345556508269
32,1267704.2652758516,840.7590460060004,9.405096672057152,0.1355664189859734,0.0489954004839974,1.3112329383395238,14.294186781905344,278.8181771760921,1507.7075866720331,0.34976382010905,0.2650144920956578,36649897.431349896,2883.0526069097987,195429.59913455707,112670.12645412328,32790355.34931378,2650.1677801514365,0.0489954004839974
36,930201.7468332264,527.8153072753034,8.07810832707231,0.1413562283492223,0.0465228570604403,1.448692252217146,10.13235039573058,268.6380088519271,1295.061880994912,0.3660362488181646,0.2291285502695121,29179789.2113372,2464.728757020988,167903.6754558291,65363.98487632085,24524117.72698871,2080.068580119786,0.0465228570604403
37,2224320.2894153586,654.3818686691242,5.629611026122961,0.1395738989653016,0.0563199996917542,1.149352163619479,14.967521864682285,392.5164179435535,1627.1811581071977,0.3283814012395079,0.6519065453131251,44855838.914737776,2829.951707932772,518820.41768912185,195011.64456749556,36045975.251396745,2439.5358269735725,0.0563199996917542
41,1841598.5336669188,909.9615995137056,4.983113255341885,0.1899257489980862,0.046773020404852,0.9178503482023292,10.29844614700058,395.4299052278568,1610.1383853882758,0.3219830863255294,0.529537413283205,24916804.26175553,2778.8579356730747,343175.00314310315,198138.14024473444,20988928.323503632,1967.561676413808,0.046773020404852
51,3045673.4923899653,968.8281277977172,5.071116715763194,0.1337055624479102,0.0639203599799571,1.1756977574165028,11.528349154181155,293.5360438614202,1941.8545334089983,0.2821284662528739,0.4313113934509642,44562888.37145401,3225.8487017058906,334709.14052573615,209487.6728611348,36856150.03246074,2627.198977196166,0.0639203599799571
55,1564920.44230942,639.1495149593986,6.367213268945403,0.1588982528993788,0.0344565976838607,1.2836482252382568,10.073429744027107,260.92465912754176,1226.964632059569,0.3349031945957736,0.408262390031449,29589206.041388225,2213.1226707425185,202731.66072893728,97710.19061793455,25569590.682887696,1438.6193448305362,0.0344565976838607
61,297829.3901792808,406.04510696281113,12.358714899890945,0.122876813354799,0.0485915127394959,1.1239217094646206,10.15387703322686,393.7538699264726,1104.6459155969771,0.4518488373664981,0.0743768071443935,18576696.853113618,2437.0779875624994,70271.89121721752,22285.56981710528,15926284.176012682,2547.0997903918733,0.0485915127394959
72,1249201.281343212,492.0169152376858,4.2439074862850585,0.1765198580871685,0.0632316953349831,0.9286086714723976,13.96259693809162,359.3062019903033,1693.4828766467838,0.3040492890869404,0.7423052691112861,24094234.873179,2841.8773269123344,614118.0803500374,199368.3697962785,17660699.451663855,2646.9858817904837,0.0632316953349831
73,914131.1710496388,282.22927864924884,5.943641124670878,0.1402861088101518,0.0435912892979849,1.1830599379421705,12.011818782403292,246.02125871492365,1138.7457324893958,0.381874240647619,0.485252983143779,31204067.05524561,2132.9518106753526,347599.2368537971,67198.6906705012,23404931.278560955,1576.7998286079146,0.0435912892979849
74,1190318.976586474,365.2387547587764,5.446149634277186,0.1629773841574556,0.0487086046729903,1.3799809155755671,9.364038030659865,478.85389700814926,1323.501565457489,0.3460347929507487,0.4983292793463336,31537655.11337332,2356.957361323641,361436.8128143421,100401.08943005226,23901189.338365268,1751.1129369817531,0.0487086046729903
78,1841154.4795094635,701.0049638249932,6.895510315892472,0.1023466313253032,0.0560936078763164,1.3491854948505326,10.27765636286804,254.6653689482504,1577.8361380357808,0.3295148531759236,0.1841476663622362,43863140.70266937,2848.498087500119,146468.79593924206,72509.00101193019,36602114.77938128,2562.10210695958,0.0560936078763164
81,1198941.238428509,376.8217824772215,4.163429932222122,0.1301200434854661,0.0283062285490198,1.3901969058540915,8.494933460550385,543.5906464567928,1017.3585900742976,0.3047078218424979,0.2762162383538492,16958338.7839929,1707.5428241877537,102519.23107388028,35229.24349305982,13394808.047068711,1019.5801746324204,0.0283062285490198
82,1858283.7442838252,724.9990658010902,5.894970483987455,0.1207565012749717,0.0332230517597382,1.4743002836060946,10.83613202851761,432.8237583840621,1306.5917021962412,0.280622087652896,0.2578560683646049,29172432.45968828,2240.4707095228214,103449.70404280868,73953.08355772212,25581694.268965986,1578.7578003776744,0.0332230517597382
83,2552755.156035037,547.2352573776636,5.248809628419702,0.1930104171902625,0.0305427871261221,1.132506480145122,9.05300017604606,379.1307095510968,1129.495932943788,0.3459524616458864,1.0416624959185274,40729709.93159772,1991.123081726874,473633.7489027111,164405.87561397927,34152732.58754615,984.942255218814,0.0305427871261221
85,637524.8818055247,588.5806188155073,12.84144911656095,0.1009343944667014,0.0592407436535092,1.242104141768844,9.667475238864998,502.75230608724985,1366.5664262908604,0.4188675168386637,0.0714277798720746,35273296.6366314,2900.813582942728,76270.19510185164,32969.14707008296,30878648.91249916,3144.997111080841,0.0592407436535092
87,1992018.6504957168,715.0137789225182,4.95556732803955,0.1734194585902952,0.0292702185517631,1.172299193769132,8.042316299621048,365.3747978177477,1217.6700339784354,0.305481441671202,0.4486280623855081,25013961.056638174,2081.5374050056084,172618.66543886004,107873.19375340374,21734988.20677644,1133.4320634167743,0.0292702185517631
90,436252.7362957558,517.4080219609598,6.210698207862429,0.1537287667606157,0.0249297196041251,1.4066698973022669,8.151805323057165,492.0409098956533,975.245522422934,0.3269674315357879,0.1039314868282582,7923994.847945047,1783.8240972019391,36455.20559868957,20487.96267379912,6921444.496297387,1239.5020956900078,0.024929719604125
91,1068186.0524972323,511.0608872256211,4.292684371502548,0.1601341454331322,0.0624973261542939,0.9399290387390552,12.036606567920185,248.4299149891273,1667.4953215417254,0.3035402146203864,0.4353851516708233,20124331.085088417,2818.6968114831207,355419.9569116801,127856.35639015624,14875317.252206534,2745.5669665090354,0.0624973261542939
94,363629.275750373,484.7610004268733,11.135615837082115,0.1931465715613018,0.0521131461508956,1.029397674038456,9.943956916729046,293.9812414417928,1223.8789827159749,0.4343207802512184,0.187230324519166,18639500.222156987,2605.4155188385707,182357.91327605504,60743.48865156304,15914446.846387008,2521.239718754683,0.0521131461508955
99,1084493.83349518,511.6153809112717,5.987048508261495,0.1463598556338936,0.049343128930804,1.006654586280606,13.326745515486476,517.8721513745509,1386.3666272069418,0.3669901974727081,0.4057958301901326,26601683.64926291,2541.0450246962228,316212.6586228787,98460.11948655947,21084200.547353573,2302.731534306241,0.049343128930804
104,1942794.3876412488,966.1603824351138,6.3000637115182645,0.1791568471092519,0.0439913735018768,0.91715504145731,10.851933604555352,378.12154244830367,1551.074870700219,0.3508620499943246,0.492765301714572,32537252.83846234,2820.59120097267,327291.3741478871,192717.4262265277,28537115.385368105,1892.7272355741932,0.0439913735018768
105,1108142.3233433955,723.9068874107616,5.489473988496648,0.1098502466827373,0.0316306569050628,1.014845275858946,12.406371812288832,324.30656145030247,1219.8281868352412,0.3394899040459005,0.1574165195527794,16227742.076781437,2188.723112501739,72740.43652257673,41440.846755676655,14083782.339061731,1834.98405650046,0.0316306569050628
106,271853.71719945146,500.7032451574077,15.12794107791191,0.1940757501908363,0.0241329828358446,1.1832177185431396,12.324039645700614,540.7648540237788,828.8460929135795,0.4520492472972673,0.168485163724752,14219688.039586447,1921.80710263638,79094.98367812739,34687.87440490731,13454972.666774482,1226.8347385624977,0.0241329828358446
109,2741644.460984356,534.4456964228739,4.075614034373316,0.1592596301787131,0.0482895230370346,1.1964342021687786,8.973273911717074,245.1699511396111,1485.8001481300937,0.287417047377575,0.7424387224775264,39414555.20969909,2434.3543164054504,443421.3258877,175303.69909494952,30311287.479394697,1605.1648701953095,0.0482895230370346
110,133696.703850317,258.36374445388793,7.582353230931522,0.1143977218165597,0.0302458835362437,1.230851556985043,10.437651005213008,241.6368197255471,820.8408953381922,0.4266498395984624,0.044523169807493,5194625.507774069,1705.968507654299,24723.756659037364,5384.000383540265,4185921.6217576624,788.3443007407944,0.0302458835362437
116,3499425.0567719825,991.013327720539,4.638835198356855,0.1863740119780678,0.0404287498709723,1.2261355999625707,12.12332747303786,378.1948406313997,1643.1252045648296,0.261392017080191,0.98034189636516,38213207.10071684,2653.386012419948,445810.9359824475,354449.4289016331,33246692.4994887,1611.215147699328,0.0404287498709723
120,1013005.7319531408,254.77676699036036,4.575493412258355,0.1914866143067279,0.0672187456871667,1.273731294923101,10.25694719817219,247.37052508179315,1596.5620988881203,0.3179742072463278,0.8930355946508002,34662131.49354885,2737.2320990484222,821375.2054724025,195137.8537008809,23921358.04264903,2146.9619274217985,0.0672187456871667
134,1128394.5441424428,612.1939501953143,6.6111073007811925,0.1467611157434692,0.0605372147671962,1.4908137754393598,10.521206560760412,447.4699155970079,1618.8818502236595,0.3256426974307204,0.2628849970044901,28718027.45033544,2883.832459057532,223007.82535971855,102322.03337345918,23274502.38714301,2771.2169123253752,0.0605372147671962
144,540057.8053175329,438.11514523274354,12.550373307999337,0.1221920552006332,0.0367802893999985,1.2122374987031397,8.032216440764092,286.8789348921632,971.1881601255076,0.4481236522261788,0.0978550236428072,28531831.02232394,2151.658235121966,69404.34455679083,23484.866180609675,25377816.46281562,1548.9842168827968,0.0367802893999985
147,1305704.2503717972,837.0926002989368,6.951939040539176,0.1977749131752744,0.0548700682653059,0.98657720272413,11.764218325514788,383.5051325993731,1619.8462692999908,0.3567295793039569,0.4956897756579297,28786311.87035177,2988.2772415307686,417517.9055433649,199823.04957663128,24479595.1952259,2447.8874959197688,0.054870068265306
150,2073054.475707447,768.2514034100984,6.773108572653758,0.1384401206113451,0.028065136797759,1.3783223763521573,9.261849121211805,474.207956485896,1220.35085953959,0.2993210105416387,0.3140434546780813,35612074.46354108,2177.1854941374268,113523.20259877596,87014.77190309555,32336245.85673628,1183.3844191638968,0.028065136797759
152,1552093.0410470704,563.5100776471884,4.2044661673808745,0.1166874724669954,0.0468972643101854,1.1922444693071528,9.330790576747985,306.5526113502005,1450.6106523785816,0.2894125516994392,0.2251262714324763,22162809.698252738,2414.225027239321,131486.62330094192,62677.69188511349,17273870.47867189,2103.5196037196592,0.0468972643101854
155,2055228.646006612,633.1114987587388,6.318331962065674,0.1364337269706627,0.0553124001477686,1.0229818379820568,10.390336360852205,240.9120925883407,1529.4249585575894,0.3552727112500399,0.4251473000111219,48550943.9895687,2786.0090268876456,359512.75382016593,130728.9956460482,39395422.27155956,2125.5982340567307,0.0553124001477686
156,1427333.2481560817,613.0595947918096,5.483045008447141,0.1589316219154349,0.0286930721531515,1.2667059510768592,11.34789227590521,382.1773279743129,1141.548523609266,0.3193011964143087,0.4347775479624099,21658648.953187797,1994.13776475766,171409.63384558828,85294.0713238029,18723456.894839697,1288.7349399439167,0.0286930721531515
157,217841.8144868717,263.859938097318,6.145723696973656,0.1274416680511618,0.0379448637720592,0.9619039968375896,10.547757218513825,434.7338206124393,991.6605934738768,0.4056964175681422,0.0923622583511107,7724018.868572973,1960.7078395442325,61184.192984246336,13572.428406430856,5849977.448987541,1546.436460788423,0.0379448637720592
158,1291025.9944697549,591.341230653233,5.3468414829403175,0.16816750890244,0.0465828149726297,1.4339387658198093,8.532788349195418,228.5684764930033,1426.5923187503329,0.3001349881155558,0.3292905200923088,23139942.018769573,2451.9787981452064,198112.603503395,99857.95178504192,18794893.87088629,1910.075509699072,0.0465828149726297
169,2000468.4710405932,361.8303006355675,4.717856283287183,0.1179524900123518,0.0516141970848786,1.3399488408107132,13.821325704635887,378.6816503364123,1418.623889317729,0.3201264424754893,0.6426456441424055,45995969.88435303,2421.24543953546,456933.30537980766,119480.6921963656,33989329.56091922,1986.2261374969796,0.0516141970848786
181,3371924.465147947,872.1962441648388,4.691059970818967,0.1653680759212881,0.0522005869936985,1.0430626278922326,11.434685686227374,410.2297504537945,1729.462306844021,0.2995363411193952,0.8229219060606187,44935835.6972631,2878.1694547896955,553699.3995399355,291464.74496936245,37044215.98573341,1937.532377748633,0.0522005869936985
182,733600.9660064295,386.0767567451072,8.415602715317409,0.107187759037574,0.0624301236805841,1.3800336488082696,11.144219668077527,381.7586839905864,1415.6869584594026,0.3926507197044489,0.1543031759577362,35083251.542835,2754.0178818000936,162766.85805688455,47149.62101786827,27727118.76113585,2903.533872206015,0.062430123680584
184,1475921.8130748598,751.87969485093,4.710674022520094,0.1995389549196188,0.0549053720667431,1.069200012962768,8.485494150148797,337.0503428234515,1659.1827807317868,0.3007016152475795,0.4479287726014794,22011085.79570531,2811.0524400350737,318236.5678887811,170483.5274966738,17662051.32552533,2137.7277922897947,0.0549053720667431
