phi_sc  value
330.00000 1177.47665
331.00000 1177.00511
332.00000 1176.70887
333.00000 1176.59053
334.00000 1176.65207
335.00000 1176.89562
336.00000 1177.32162
337.00000 1177.93143
338.00000 1178.72513
339.00000 1179.70248
340.00000 1180.86331
341.00000 1182.20621
342.00000 1183.73019
343.00000 1185.43293
344.00000 1187.31266
345.00000 1189.36569
346.00000 1191.59012
347.00000 1193.98191
348.00000 1196.53731
349.00000 1199.25244
350.00000 1202.12261
351.00000 1205.14375
352.00000 1208.31047
353.00000 1211.61828
354.00000 1215.06200
355.00000 1218.63560
356.00000 1222.33473
357.00000 1226.15327
358.00000 1230.08603
359.00000 1234.12732
360.00000 1238.27162
361.00000 1242.51606
362.00000 1246.85047
363.00000 1251.27179
364.00000 1255.77450
365.00000 1260.35404
366.00000 1265.00505
367.00000 1269.72223
368.00000 1274.50222
369.00000 1279.33867
370.00000 1284.22757
371.00000 1289.16486
372.00000 1294.14669
373.00000 1299.16855
374.00000 1304.22693
375.00000 1309.31787
376.00000 1314.43831
377.00000 1319.58455
378.00000 1324.75661
379.00000 1329.94524
380.00000 1335.15110
