opr,split,cr,far,p_ratio,ic_ratio,eta_th,specific_nox,thrust,bpr,bore,bpr piston,m0,T_in_piston,T_out_piston,T35,P max (bar),T max,T_max_twozone,piston_shaft_power,piston_indicated_power,piston_heatloss,m_nox_pe,m_nox_burner,core_power,core_power_per_litre,cooling_ratio,piston_fuelflow,burner_fuelflow,piston_fuelsplit,error,constraint_violation,is_feasible
11.526165787479144,0.3899593961200573,8.822501545849828,4.170395533492824,1.584592658397622,0.5384958704104337,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,False
20.02240927319876,0.0360255666798807,6.952828781120583,3.49964750247668,1.3754609972846583,0.8037390361043755,0.5451491651254523,1.213065021120833,27140.999999999905,22.187888460812484,0.2056131557367065,0.1121727353775773,248.660000000516,643.1491485705283,1284.3430963751837,1237.072122952828,106.06794861876904,2173.572295205173,2767.2947827985054,4140339.065566553,4646298.039213689,2326608.4966901485,0.0329237977382404,0.0,8868573.621167015,54.12525513814036,0.0,0.3452876190091867,0,1.0,False,34.34870953092038,False
17.618822662970768,0.0329681734529525,7.169601592387929,4.728780583158841,1.049369747505941,0.4521239618176831,0.5542543286708465,1.299416251695562,27140.99999999933,17.533608037449056,0.1776726392108024,0.9119182476410036,248.660000000516,619.588477295219,1422.143200990983,1100.9078601777048,116.84501004364098,2507.544561134994,2853.407815375668,4780098.090508042,5181067.286603552,1971294.3012753048,0.0352674564872683,0.0,8934198.966904316,84.50702954562256,0.0,0.339554914945434,0,1.0,False,172.14320099098268,False
28.62412039378044,0.012449613775174,10.606038092105347,4.850388501240937,1.0612120153146751,0.5484899192360304,0.5672570435866513,1.2026366523875245,27141.00000000005,22.613060325830578,0.1469546008501728,0.5751728891955782,248.660000000516,724.046240603868,1439.1873938808487,1229.978811819612,244.12469776378109,2648.244303426259,2970.5095941429986,4998524.344099948,5473577.432011418,2261845.60541841,0.0326407613824498,0.0,8880264.962484356,148.44830342836838,0.0,0.3318074789594901,0,1.0,False,283.31209164462985,False
28.182567497734624,0.066584722879625,9.757538387411424,4.251229577306105,1.3683092686187397,0.4677528597449807,0.5647222059990077,1.191101814901332,27141.000000000025,24.859189638600565,0.1587138032529708,0.2558252902304657,248.660000000516,709.4189021442644,1393.845610847623,1293.7735198345672,213.9382237181816,2467.7423346403543,2903.3576624912344,4429845.240368457,4933454.038726711,2402432.0162603045,0.032327694358237,0.0,8825194.739783429,117.10598142916793,0.0,0.3330892165082375,0,1.0,False,207.7838345658046,False
14.096981805955902,0.2453829445455352,8.09623158323565,3.432203464554765,1.156123270046415,0.8379179943092606,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,False
25.372950130390187,0.156997338606331,10.298878659083494,2.8281471449920854,1.2169900527824804,0.3529783659443947,0.5433265485439878,1.0699662102439214,27140.99999999997,19.53342004825525,0.2018527439748837,0.013048768695132,248.660000000516,677.3704894369769,1133.0553852181397,1128.6432524404845,189.1057809067179,2059.578509723213,2816.579622885104,4684442.69233764,5396038.213730795,2661701.6478925925,0.0290399529122302,0.0,8729220.148985224,56.30803225016857,0.0,0.3459397818299159,0,1.0,False,39.1076336506928,False
23.147989255595164,0.1851755414940176,9.050022756805744,4.157972367527124,1.1890942803796842,0.9064232691643388,0.5629029907257111,1.1703041809665269,27140.99999999995,17.1853562163106,0.1680927671488905,0.7416291287118547,248.660000000516,622.8485072696228,1311.5606315649668,1074.3876410999676,170.82558646407426,2364.7051960289923,2829.322918742233,4845295.467321839,5308034.831284689,2054756.244694651,0.0317632257756124,0.0,8856987.97159373,98.93224217961804,0.0,0.3340367556468989,0,1.0,False,82.38621802904106,False
13.609032384053632,0.3705594364566321,8.646114480074544,3.2793607180548268,1.3440659080436872,0.5229062010283453,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,False
18.297719568788864,0.000713440281379,5.014885804314273,4.128183181175638,1.267041917735638,0.6961604635169689,0.5346978925042782,1.3649539830940205,27140.99999999986,23.236473140733228,0.198421344824623,0.2305731888821112,248.660000000516,634.0804623439728,1422.7195972388477,1310.35319176003,77.25106974987993,2308.9235750249354,2768.3268830389297,3940013.384133959,4348238.89383512,2223180.034815287,0.0370462160551546,0.0,8918002.363032127,60.56215127002481,0.0,0.3521861228834568,0,1.0,False,172.71959723884763,False
29.10936646005852,0.3414569271877087,4.584415597402533,2.9265580545913914,1.314816281126361,0.2351204072574643,0.5287122606800015,1.1901961444721552,27140.99999999992,23.845759397982977,0.1945227216396007,-0.156627219403877,248.660000000516,698.3943920508533,1280.3523496781315,1358.3565159190405,95.7259599556875,1997.549332847155,2719.038056906151,3391869.194852173,3863459.84675782,2665497.5537147126,0.0323031135571186,0.0,8768016.030879328,63.1959432113261,0.0,0.3553656436244311,0,1.0,False,30.50897689753541,False
29.299419990722537,0.4725241118963969,13.332409689214575,3.416971988865207,1.489033700428878,0.1311106423479139,0.5446622783734293,1.099711340399801,27141.00000000032,17.720729715214848,0.1743030791809602,0.3456327820485531,248.660000000516,708.697747468428,1247.8616088091894,1151.5222260196956,305.93631648079463,2262.9144243083088,2887.180197167538,4346821.016148354,5088725.931617012,2872336.41167319,0.0298472654897913,0.0,8666964.791946126,86.82618742771736,0.0,0.3451296229348682,0,1.0,False,155.93631648079463,False
16.17467314595671,0.2314981970772085,12.160319207518134,3.45747568612669,0.9958132831582156,0.3435365297043583,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,False
16.488523393448858,0.1502094521590198,5.820515405123661,3.244705317719756,1.2136844602519063,0.7749003758140172,0.5374440774587095,1.1323154235546322,27141.00000000005,16.55360471995233,0.2236514657269296,0.3439855918656631,248.660000000516,580.441830882622,1207.1700072872443,1078.40759246356,76.57582316814737,2031.3423521342063,2694.031016626983,4340219.439665443,4824113.568740012,2040319.1835212784,0.0307321729106963,0.0,8886873.240783688,42.14369559313549,0.0,0.3499487796521773,0,1.0,False,0.0236514657269296,False
