generation,hypervolume
1,0.1993910046569929
2,0.2017871003115773
3,0.2055944125005449
4,0.2202014457611171
5,0.2270685950293994
6,0.2344504980838436
7,0.237617564497618
8,0.242773411477235
9,0.2455273722305629
10,0.2481862252739773
11,0.2493787810650131
12,0.2522930418464864
13,0.253711323229617
14,0.2557421387678371
15,0.2571506997362889
16,0.2591232473661175
17,0.260377328336799
18,0.262629475096086
19,0.2648254915916402
20,0.2658146141487807
21,0.2669421085645519
22,0.2676221650916452
23,0.2681443974541714
24,0.2693197254764803
25,0.2696868232037437
26,0.2701686767627373
27,0.2704425617402686
28,0.2711915816865272
29,0.2720422651401741
30,0.2723214300728691
31,0.272777939110383
32,0.2730667422861192
33,0.2734149253375406
34,0.2738976827732943
35,0.2741231399674331
36,0.2743913298992049
37,0.2746120947379101
38,0.2748136833417992
39,0.2751576203264667
40,0.2753607768347117
41,0.2755081489399005
42,0.2755998781047238
43,0.2756972168889607
44,0.2757445957598514
45,0.2757937123171439
46,0.2759659272423678
47,0.2760841654368851
48,0.2762354118137761
49,0.2764007363547062
50,0.2764947901187163
51,0.2765722279402759
52,0.2766594274643817
53,0.2766771453584533
54,0.2767548075422812
55,0.276841313835644
56,0.2768859792489634
57,0.2769203714704665
58,0.276954601564383
59,0.277011717960397
60,0.2770241123069602
61,0.2770423532719123
62,0.277113817610064
63,0.2771227714059194
64,0.2771883258156041
65,0.2772407855283173
66,0.2773502885890676
67,0.2773972293830618
68,0.2774761022099186
69,0.2775454972730411
70,0.2775554408273473
71,0.277595319634857
72,0.2776310204285676
73,0.2776548606154945
74,0.2777359608531113
75,0.2777686919018954
76,0.2778011937851001
77,0.2778607517949075
78,0.2779400164483855
79,0.2779813624867396
80,0.278015677954827
81,0.2780567258216273
82,0.2781241374325465
83,0.2781553753161702
84,0.2782048045501651
85,0.2782475359460655
86,0.2782782487590363
87,0.2782896223238105
88,0.2783273266748258
89,0.278362723985624
90,0.2784002533213957
91,0.2784209579195978
92,0.2784442453612882
93,0.2784594972303453
94,0.2784887923359587
95,0.2784937591837977
96,0.2785040065997998
97,0.2785354954073238
98,0.2785543680946504
99,0.2785723912656934
100,0.2786349636573054
101,0.2786349636573054
102,0.2786444118525387
103,0.2786922837713447
104,0.2787124193616241
105,0.2787244576302884
106,0.2787424199048514
107,0.2787570236707997
108,0.2787485391764395
109,0.2788094231069077
110,0.2788338991582932
111,0.2788451483491155
112,0.2788477421818173
113,0.2788689456211419
114,0.2789164832370238
115,0.2789384354776561
116,0.2789846478065338
117,0.2790165850739383
118,0.2790370240960369
119,0.2790624978935531
120,0.2791068407177474
121,0.2791074198707975
122,0.2791280930042691
123,0.2791807682995987
124,0.2791919245467231
125,0.2792093660897834
126,0.2792605929470936
127,0.2792783356369502
128,0.2792814691322541
129,0.2793115900991707
130,0.2793191204035091
131,0.2793804740326281
132,0.27939278555515557
133,0.2794203848382904
134,0.27942906528159095
135,0.27944456109389415
136,0.27943655293898884
137,0.27944746627929024
138,0.2794410829730772
139,0.27942628006775094
140,0.27947053676455147
141,0.2794747161246412
142,0.2794793180958447
143,0.2794920780095596
144,0.27949329819694435
145,0.27949173733676114
146,0.2795039444802023
147,0.2795229256737689
148,0.27952348094542434
149,0.2795352289852189
150,0.27954038917382845
151,0.2795511225580639
152,0.27956564431708775
153,0.27956559276158455
154,0.2795735405012195
155,0.27957455954475985
156,0.2795850343150267
157,0.2795878132767776
158,0.2795817115051271
159,0.27958524404574625
160,0.27959016306499973
161,0.2795985374228648
162,0.27961000590460505
163,0.2796094320333461
164,0.27960869839211566
165,0.27963012415655863
166,0.27963821863682875
167,0.27964886563628705
168,0.2796761479527814
169,0.2796878994306443
170,0.2796995639769114
171,0.2796953842576618
172,0.2797002955434317
173,0.27968197466952804
174,0.2796762685437806
175,0.27967226178834165
176,0.2796786331961543
177,0.2796992289217284
178,0.2797222605767327
179,0.27972018834497786
180,0.2797251261961361
181,0.27974659414193875
182,0.2797455882586619
183,0.2797368039864197
184,0.27972697640915734
185,0.2797483252880453
186,0.27974971526898335
187,0.27975079331694247
188,0.2797592277625309
189,0.2797672242012417
190,0.2797845720769019
