nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 0.13698 0.14296 0.14837 0.15334 0.15794 0.16225 0.16630 0.17013
0.05000 0.13416 0.13970 0.14471 0.14930 0.15354 0.15750 0.16123 0.16475
0.10000 0.13144 0.13657 0.14119 0.14541 0.14932 0.15296 0.15638 0.15961
0.15000 0.12882 0.13355 0.13780 0.14169 0.14528 0.14862 0.15175 0.15470
0.20000 0.12630 0.13065 0.13456 0.13812 0.14141 0.14446 0.14733 0.15002
0.25000 0.12388 0.12787 0.13145 0.13471 0.13771 0.14050 0.14311 0.14557
0.30000 0.12156 0.12521 0.12848 0.13145 0.13418 0.13672 0.13909 0.14132
0.35000 0.11935 0.12267 0.12564 0.12834 0.13082 0.13312 0.13527 0.00000
0.40000 0.11724 0.12025 0.12294 0.00000 0.00000 0.00000 0.00000 0.00000
