nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 31.50331 36.29885 40.96522 45.51193 49.94710 54.27741 58.50857 62.64551
0.05000 33.47971 38.71300 43.82571 48.82545 53.71882 58.51151 63.20847 67.81394
0.10000 35.58070 41.28377 46.87640 52.36400 57.75152 63.04364 68.24415 73.35658
0.15000 37.81723 44.02464 50.13328 56.14631 62.06673 67.89788 73.64243 79.30324
0.20000 40.20203 46.95116 53.61503 60.19392 66.68914 73.10206 79.43443 85.68806
0.25000 42.75021 50.08200 57.34368 64.53255 71.64763 78.68873 85.65612 92.55079
0.30000 45.47995 53.43936 61.34557 69.19267 76.97710 84.69692 92.35086 99.93834
0.35000 48.41331 57.05033 65.65285 74.21141 82.71974 91.17372 99.57054 0.00000
0.40000 51.57749 60.94836 70.30527 0.00000 0.00000 0.00000 0.00000 0.00000
