nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 18.37385 19.22121 19.94422 20.57493 21.13454 21.63780 22.09533 22.51500
0.05000 18.07139 18.88873 19.58401 20.18876 20.72390 21.20392 21.63928 22.03775
0.10000 17.76368 18.55079 19.21821 19.79702 20.30774 20.76464 21.17800 21.55544
0.15000 17.45007 18.20652 18.84583 19.39849 19.88470 20.31845 20.70982 21.06627
0.20000 17.12989 17.85511 18.46582 18.99200 19.45342 19.86381 20.23303 20.56839
0.25000 16.80247 17.49567 18.07716 18.57631 19.01250 19.39915 19.74590 20.05989
0.30000 16.46713 17.12737 17.67881 18.15022 18.56054 18.92289 19.24667 19.53884
0.35000 16.12318 16.74933 17.26972 17.71247 18.09611 18.43342 18.73355 nan
0.40000 15.76994 16.36068 16.84881 nan nan nan nan nan
