nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 1569526.54838 1731703.67089 1885706.57787 2033145.49931 2175122.90722 2312510.73882 2445955.57000 2575989.23647
0.05000 1468877.20892 1615921.43535 1755229.67336 1888288.21757 2016190.35064 2139745.83875 2259566.11286 2376159.77749
0.10000 1373318.17626 1506544.21717 1632451.06124 1752488.11145 1867672.29788 1978748.89938 2086337.12872 2190896.23461
0.15000 1282475.02417 1403064.31721 1516799.99537 1625030.25128 1728716.52459 1828576.96971 1925178.58201 2018945.36364
0.20000 1196017.80030 1305072.76465 1407720.93886 1505254.37526 1598554.41402 1688313.79588 1775042.28845 1859149.75795
0.25000 1113599.63215 1212102.64298 1304681.64644 1392510.64592 1476442.25858 1557101.19673 1634968.45452 1710417.44166
0.30000 1034879.38237 1123745.01589 1207149.84167 1286194.63623 1361663.22746 1434124.75086 1504031.45685 1571728.53618
0.35000 959532.56937 1039579.98236 1114635.14696 1185709.81216 1253519.74395 1318599.49455 1381349.38388 0.00000
0.40000 887229.83358 959195.68420 1026635.98426 0.00000 0.00000 0.00000 0.00000 0.00000
