nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 43.05907 46.46953 49.62898 52.57591 55.34007 57.94475 60.40844 62.74642
0.05000 47.59460 51.54181 55.21031 58.64204 61.86960 64.91858 67.80942 70.55889
0.10000 52.68625 57.24253 61.48916 65.47227 69.22725 72.78252 76.16047 79.37941
0.15000 58.42614 63.67443 68.57852 73.18892 77.54433 81.67614 85.60883 89.36302
0.20000 64.92850 70.96490 76.61779 81.94257 86.98212 91.77051 96.33518 100.69900
0.25000 72.33692 79.27374 85.78183 91.92181 97.74153 103.27860 108.56339 113.62176
0.30000 80.83467 88.80478 96.29272 103.36627 110.07811 116.47052 122.57731 128.42663
0.35000 90.65969 99.82232 108.43909 116.58593 124.32179 131.69408 138.74110 nan
0.40000 102.12645 112.67587 122.60187 nan nan nan nan nan
