nan 12.00000 14.00000 16.00000 18.00000 20.00000 22.00000 24.00000 26.00000
0.00000 24.32180 26.53541 28.34744 29.82687 31.02657 31.97061 32.66154 33.10298
0.05000 22.63387 24.79508 26.58755 28.08330 29.33625 30.37091 31.19880 31.83624
0.10000 20.97265 23.06592 24.82523 26.31643 27.58840 28.67231 29.58581 30.34449
0.15000 19.34155 21.35983 23.07197 24.54227 25.81533 26.91976 27.88001 28.70803
0.20000 17.75265 19.67733 21.33535 22.77277 24.03014 25.13785 26.11632 26.98202
0.25000 16.20329 18.03133 19.62588 21.01699 22.24860 23.34253 24.32426 25.20361
0.30000 14.70557 16.42623 17.94152 19.28188 20.47791 21.55320 22.52151 23.39965
0.35000 13.26390 14.86852 16.29958 17.58038 18.73417 19.77367 20.72151 0.00000
0.40000 11.88135 13.36451 14.70180 0.00000 0.00000 0.00000 0.00000 0.00000
