,T_out,eff,air_flow,p_max,T_max,power,heat_loss,p_tdc
0,1435.1262271494325,0.33552818397729645,0.05887507688124033,127.52909705540634,2824.144939583453,51.514976584389906,47.965120265431075,84.11002619193295
1,901.1685968953443,0.29950943131240315,0.12749739265333115,94.09197230875553,1856.8959844623075,30.35340238111335,53.346918378001526,94.06136665942513
2,1605.3194134979942,0.3510636530801831,1.0369244081172522,465.4778281557512,3106.373468795525,1153.5895676787309,809.916614886545,302.43235183676376
3,651.7958500518823,0.47028929090987465,0.31786461720222664,1318.692782687988,1414.6123332257496,127.1362916658507,19.697412830821197,1167.2721800263598
4,1026.8710398744452,0.2490810368970877,1.005183379951543,132.07603947287214,1843.5183988036772,227.5897550795037,318.069174444181,124.51891735190085
5,987.5051113893079,0.297615198900612,3.250954682865051,384.05791629104766,1790.3005428940828,749.7896314957497,749.5024597834831,375.8698658107484
6,1238.436269957923,0.31610965084180725,0.3033815463802329,295.5446722427889,2346.5624120493276,171.01347443143305,141.37371500226823,234.13890329572004
7,1392.7956839863625,0.3039845924415624,0.011979071739551154,208.71782468382935,2942.9856039873916,12.600008454391746,15.550510914914513,121.33639424554828
8,910.1860654501231,0.4488295388450186,0.920454099887375,486.5740948180183,1803.2952230662327,242.50328019759993,265.00021197625676,486.50179304119376
9,1564.0552490069424,0.33641081413763824,1.0198051790419902,778.1557236621838,2939.5622706109707,985.8115502097837,614.7701403626036,554.1145729117624
10,1630.123104858513,0.3691698869625249,1.395884590750675,478.0104301000619,3157.4478805096114,1771.1239982298396,902.3961164384989,286.74285894132925
11,1329.8376250965118,0.19037720962419388,1.638290959940006,376.72845759013575,2188.728378500095,471.1206585492662,763.100868118808,299.1556007108243
12,1536.4264473793141,0.38140235019800284,0.08911168331873827,311.624184639542,3076.1837131545453,114.46829859928901,59.79232478238135,155.4438800218145
13,1519.9126281302943,0.33781456460819637,0.715159693625533,791.4573503150833,2960.7098481182466,643.3968177979605,535.6057762883803,635.9142983722273
14,1154.8025573799023,0.4160583671244233,0.39487846353022726,681.1183632258885,2388.644142104623,393.7997207997843,115.16651427747647,351.8726198087539
15,1249.0026513385044,0.3781403303448955,1.9114921072091036,476.19771485791983,2404.9898516722965,1472.9833586192485,606.0318508614748,308.9878081420793
16,732.1019979085144,0.36704756458386567,2.491789953422392,315.1600919205335,1437.6906048315986,666.1840242200016,218.09716126519317,310.0009992598255
17,1469.07165072292,0.38736899495626326,3.333973297333519,1001.8912742726367,2822.4786294759615,3818.3823696745376,1260.6771478371245,460.9271794620217
18,1571.278150327031,0.2993402486934655,0.11408396749699443,157.89184005339868,3041.3398941557125,103.15866634959234,124.63742253967345,108.31190616317379
